Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,RN SETHI,Rabindranath Sethi,19-Mar-2026 06:22 PM,finance_573310.pdf,BOQ Comparative Chart,1.0,3345418.0,ARYA INFRASTRCTURE,INR,"841,909","CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",2025_CEMIB_123814_8,06 (BGR)/ 2025-26,Repair and Renovation of Kapani MIP in Belpada Block Of Balangir District Under The scheme ERM,RN SETHI,Internal,,Rabindranath Sethi,19-Mar-2026 06:32 PM,finsummary_573310.pdf (219.66 KB),RN SETHI,Internal,,Rabindranath Sethi,19-Mar-2026 06:24 PM,techsummary_573310.pdf (219.66 KB),1,3345701,AGRAWAL STORES,05-Jan-2026 04:49 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,19-Mar-2026,"INR 841,909",90.0,Rabindranath Sethi,19-Mar-2026 06:40 PM,Kapani.pdf (220.00 KB),AOC,26-Dec-2025 10:00 AM,06-Jan-2026 10:00 AM,26-Dec-2025 10:00 AM,05-Jan-2026 05:00 PM,NA ,NA ,26-Dec-2025 10:00 AM,05-Jan-2026 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, valid GST, Valid PAN, Affidavit, NRC, Tender Cost, EMD, any other docs as per DTCN",Repair and Renovation of Kapani MIP in Belpada Block Of Balangir District Under The scheme ERM,Repair and Renovation of Kapani MIP in Belpada Block Of Balangir District Under The scheme ERM,Please refer Tender Documents ,NA ,"8,39,292",Civil Works - Water Works,NA ,Tender,90.0,90.0,BELPADA,767026.0,NA ,NA ,NA ,"O/o the S.E, M.I. Division, Balangir",No ,No,1.0,ICICI BANK,"CE,Minor Irrigation,BBSR||Balangir Minor Irrigation Circle Balangir||MI Division Balangir",06 (BGR)/ 2025-26,2025_CEMIB_123814_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"S.E.,M.I. Division, Balangir","O/o the S.E, M.I. Division, Balangir","8,500",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3345374,AKASH KUMAR JAIN,05-Jan-2026 02:43 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3342559,ANANTA KUMAR PANIGRAHI,04-Jan-2026 07:59 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3345418,ARYA INFRASTRCTURE,05-Jan-2026 04:35 PM,Accepted-AOC,Accepted,19-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3341652,DHANANJAYA PADHAN,01-Jan-2026 11:40 AM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3344709,DILLIP KUMAR BISWAL,05-Jan-2026 11:23 AM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3344063,JAYARAM NAG,04-Jan-2026 04:54 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3344150,KUNTI MAHANANDA,05-Jan-2026 10:36 AM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3344806,MAMATA KUMBHAR,05-Jan-2026 12:34 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3343565,NETRANANDA MAJHI,05-Jan-2026 02:55 PM,Rejected-Finance,Rejected,19-Mar-2026 06:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
