Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Repair and Renovation of Record Room of Old Collectorate Building at Chhatarpur for 2025-26,Repair and Renovation of Record Room of Old Collectorate Building at Chhatarpur for 2025-26,NA ,NA ,"5,62,510",Civil Works - Buildings,NA ,Tender,90.0,60.0,Ganjam,760005.0,NA ,NA ,NA ,"ROADS AND BUILDINGS DIVISION, GANJAM - II",No ,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,20-Dec-2025 10:00 AM,29-Dec-2025 11:30 AM,20-Dec-2025 10:00 AM,26-Dec-2025 04:00 PM,20-Dec-2025 10:00 AM ,22-Dec-2025 04:00 PM ,20-Dec-2025 10:00 AM,26-Dec-2025 04:00 PM,Divisional Officer,"ROADS AND BUILDINGS DIVISION, GANJAM - II",1.0,Fee/PreQual/Technical/Finance,.pdf,Cost of tender paper EMD GSTIN PAN Affidavit Regn cert other documents as per DTCN,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,SCGM-II-22/25-26,2025_EICCL_123553_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,700",Yes,fixed,,Nil,Nil,AOC,02-Mar-2026,"INR 562,510",60.0,Sandipta Panigrahi,02-Mar-2026 06:59 PM,Raj.pdf (786.00 KB),Work awarded to Sri Rajendra Patro,1,3327730,LIPUN SAHU,26-Dec-2025 01:21 PM,Rejected-AOC,not qqalify for award,02-Mar-2026 06:59 PM,Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,19-Feb-2026 08:29 PM,techsummary_572471.pdf (752.35 KB),Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,19-Feb-2026 08:32 PM,finsummary_572471.pdf (752.35 KB),EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,2025_EICCL_123553_1,SCGM-II-22/25-26,Repair and Renovation of Record Room of Old Collectorate Building at Chhatarpur for 2025-26,1.0,3329773.0,RAJENDRA PATRA,INR,"562,510",Finance,4 nos of bidder participated and under scrutiny.,Sandipta Panigrahi,07-Jan-2026 06:51 PM,finance_572471.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3327638,MANOJ KUMAR PANIGRAHY,25-Dec-2025 03:21 PM,Rejected-AOC,not qqalify for award,02-Mar-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3329773,RAJENDRA PATRA,26-Dec-2025 02:02 PM,Accepted-AOC,work awarded,02-Mar-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3320191,R. KESHABA REDDY,21-Dec-2025 10:53 AM,Rejected-AOC,not qqalify for award,02-Mar-2026 06:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
