S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3353913.0,SARADA TECHNO SERVICES,INR,"1,048,660",Finance,Summary,Alekh Dalai,07-Mar-2026 04:59 PM,finance_574576.pdf,BOQ Comparative Chart,General Manager,Internal,Manager,Alekh Dalai,07-Mar-2026 05:05 PM,finsummary_574576.pdf (38.35 KB),WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,2026_WDRKL_124215_1,GMWATCORKL- 20/2025-26 dt.29.12.2025,Upgradation of existing 250 KVA transformer to 350 KVA at clear water pump house Ranibandh Rajgangpur,General Manager,Internal,Manager,Alekh Dalai,07-Mar-2026 05:02 PM,techsummary_574576.pdf (38.34 KB),07-Mar-2026,"INR 1,048,660",60.0,Alekh Dalai,07-Mar-2026 05:12 PM,AOC.pdf (205.00 KB),AOC,1.0,3353913.0,SARADA TECHNO SERVICES,14-Jan-2026 03:36 PM,Accepted-AOC,Lowest quoted rate and approved by the MD WATCO Bhubaneswar,07-Mar-2026 05:12 PM,AOC,06-Jan-2026 11:00 AM,16-Jan-2026 12:30 PM,06-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,06-Jan-2026 11:00 AM ,13-Jan-2026 05:00 PM ,06-Jan-2026 11:00 AM,15-Jan-2026 05:00 PM,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,GMWATCORKL- 20/2025-26 dt.29.12.2025,2026_WDRKL_124215_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"7,080",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender paper, EMD,PAN, GST, Certificate and other documents etc as per DTCN","10,487",Yes,fixed,,Nil,Nil,"G.M WATCO Division, Rourkela","O/o G.M WATCO Division, Rourkela",Upgradation of existing 250 KVA transformer to 350 KVA at clear water pump house Ranibandh Rajgangpur,Upgradation of existing 250 KVA transformer to 350 KVA at clear water pump house Ranibandh Rajgangpur,Please refer Tender documents. ,NA ,"10,48,660",Civil Works - Water Works,NA ,Tender,120.0,60.0,Rajgangpur,770017.0,NA ,NA ,NA ,"O/o G.M WATCO Division, Rourkela",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
