S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3154113.0,M/S PANI CONSTRUCTION,INR,"9,752,083",Technical,Technical Bid Opened,Ambikeya Mishra,04-Nov-2025 06:58 PM,technical_555563.pdf,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,2025_EICCL_119378_4,CCE R and B RGDA- 05/2025-26,"Construction of Boundary wall, Road and Drain for Bar Association Hall, Transit House, C Type Quarter and B Type Quarter area for District Court at Paralakhemundi in the District of Gajapati, Odisha. (Civil Only)",CCE Rayagada,Internal,DAO PA to CCE Estimator,Ambikeya Mishra,30-Mar-2026 05:27 PM,finsummary_555563.pdf (500.70 KB),CCE,Internal,SE DAO PA to CCE Estimator,Ambikeya Mishra,29-Nov-2025 05:52 PM,02-Dec-2025 04:30 PM,techsummary_555563.pdf (637.48 KB),Finance,Financial Bid Opened,Ambikeya Mishra,03-Dec-2025 07:16 PM,,BOQ Comparative Chart,1,3158746,ALLAPA AKHIL KUMAR,27-Oct-2025 04:42 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,30-Mar-2026,"INR 9,752,083",180.0,Ambikeya Mishra,30-Mar-2026 05:47 PM,WO_BW_Pkd.pdf (2427.00 KB),WO issued to Pani Const vide letter no. 1135 Dt. 02.02.2026 of SE Pkd,AOC,"Construction of Boundary wall, Road and Drain for Bar Association Hall, Transit House, C Type Quarter and B Type Quarter area for District Court at Paralakhemundi in the District of Gajapati, Odisha. (Civil Only)",Building works,Please refer Tender documents. ,NA ,"1,14,71,689",Civil Works - Buildings,NA ,Tender,90.0,180.0,Paralakhemundi,761200.0,NA ,NA ,NA ,CCE R and B Circle Rayagada,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper,EMD,PAN,GSTIN,GSTRC,Labour license,Affidavit,Regd Certificate","1,15,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,Chief Construction Engineer,CCE R and B Circle Rayagada PIN 765001,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB DIVN RAYAGADA I,CCE R and B RGDA- 05/2025-26,2025_EICCL_119378_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,13-Oct-2025 11:00 AM,28-Oct-2025 11:00 AM,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,13-Oct-2025 11:00 AM ,22-Oct-2025 05:00 PM ,13-Oct-2025 11:00 AM,27-Oct-2025 05:00 PM,02-Dec-2025 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3159672,ASISH KUMAR MOHANTY,27-Oct-2025 03:42 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work Experience and other documents as per DTCN.,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3156181,BURADA DINESH,27-Oct-2025 11:18 AM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3159523,CHANDRA SEKHAR SAHUKAR,27-Oct-2025 02:53 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3158922,D.HARISH KUMAR,27-Oct-2025 01:44 PM,Rejected-Technical,Dis-Qualified as per Technical Evaluation Sheet (10 i of DTCN),29-Nov-2025 05:52 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3154593,Dillip Kumar Ghadai,26-Oct-2025 02:17 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3155143,KARAKARIA GAJENDRA,27-Oct-2025 11:45 AM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3154113,M/S PANI CONSTRUCTION,26-Oct-2025 02:49 PM,Accepted-AOC,First lowest selected transparent lottery system,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3159152,M/S S. KARUNAKAR RAO,27-Oct-2025 03:04 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3159852,P MUTTI RAJU,27-Oct-2025 04:00 PM,Rejected-AOC,First lowest,30-Mar-2026 05:48 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
