S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3273505.0,DEBASMITA MISHRA,INR,"425,048",Municipal Bodies||Daspalla NAC,2025_ORULB_121286_16,NAC-Daspalla/02/2025-26,Construction of RCC Drain from Brapurikia Pokhari towards Tiarsahiin Ward no. 07 of NAC Daspalla,1,3269533,AJIT KUMAR JENA,01-Dec-2025 08:04 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,06-Mar-2026,"INR 425,048",90.0,AVINASH MOHANTY,07-Mar-2026 03:46 PM,16sru.pdf (556.00 KB),Finance,ok,AVINASH MOHANTY,29-Jan-2026 04:18 PM,,BOQ Comparative Chart,"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,03-Feb-2026 01:12 PM,finsummary_564785.pdf (1482.12 KB),"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,01-Feb-2026 11:39 AM,techsummary_564785.pdf (1482.12 KB),AOC,1.0,ICICI BANK,EXECUTIVE OFFICER NAC DASPALLA,NAC OFFICE DASPALLA,Municipal Bodies||Daspalla NAC,NAC-Daspalla/02/2025-26,2025_ORULB_121286_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,Construction of RCC Drain from Brapurikia Pokhari towards Tiarsahiin Ward no. 07 of NAC Daspalla,Construction of RCC Drain from Brapurikia Pokhari towards Tiarsahiin Ward no. 07 of NAC Daspalla,Please refer Tender documents. ,NA ,"4,23,728",Civil Works - Roads,NA ,Tender,180.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,21-Nov-2025 09:00 AM,05-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"4,237",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,3273781,CHITTA RANJAN MOHANTY,03-Dec-2025 03:42 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All tender Documents.,,,,,,,AOC
,,,,,,,,,3,3273505,DEBASMITA MISHRA,03-Dec-2025 01:45 PM,Accepted-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3268752,DUHKHA BEHERA,02-Dec-2025 07:21 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3273773,DUKHISHYAMA MOHANTY,03-Dec-2025 09:06 AM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3274078,FIROZ KHAN,03-Dec-2025 01:06 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3273710,KALYANI BEHERA,03-Dec-2025 04:45 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3273823,MAKABULU KHAN,03-Dec-2025 02:21 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3273446,PRAKASH MOHAPATRA,03-Dec-2025 02:24 AM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3267914,SAKTI PRASAD BEHERA,02-Dec-2025 01:21 PM,Rejected-AOC,lotey,07-Mar-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
