S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"35,000",Yes,fixed,,Nil,Nil,28-Nov-2025 10:00 AM,08-Dec-2025 11:00 AM,28-Nov-2025 10:00 AM,06-Dec-2025 05:30 PM,28-Nov-2025 10:00 AM ,04-Dec-2025 05:30 PM ,28-Nov-2025 10:00 AM,06-Dec-2025 05:30 PM,"SUPPLY,INSTALLATION,TESTING AND COMMISSIONING OF PACKAGED WATER TREATMENT PLANT(UNCONVENTIONAL TYPE) OF .3 MLD AT CHAKRADHARAPUR OF AM/NS PARADEEP UNDER KUJANGA BLOCK","SUPPLY,INSTALLATION,TESTING AND COMMISSIONING OF PACKAGED WATER TREATMENT PLANT(UNCONVENTIONAL TYPE) OF .3 MLD AT CHAKRADHARAPUR OF AM/NS PARADEEP UNDER KUJANGA BLOCK",AS PER DTCN ,NA ,"35,00,000",Civil Works - Water Works,NA ,Tender,180.0,NA ,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,754103.0,NA ,NA ,NA ,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,No ,No,Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,RWSS_38_2025-26,2025_RWSS_121933_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,SE RWSS DIVISION JAGATSINGHPUR,OFFICE OF THE SE RWSS DIVISION JAGATSINGHPUR,AOC,JYOTI RANJAN DAS,Internal,,Jyotiranjan Das,24-Mar-2026 05:02 PM,finsummary_566824.pdf (478.92 KB),Finance,DETAILS ATTACHED,Jyotiranjan Das,24-Mar-2026 04:57 PM,finance_566824.pdf,BOQ Comparative Chart,24-Mar-2026,"INR 3,500,000",180.0,Jyotiranjan Das,24-Mar-2026 05:07 PM,WTP.pdf (479.00 KB),1.0,3277770.0,M/s CEF ENGINEERING,06-Dec-2025 03:46 PM,Accepted-AOC,DETAILS ATTACHED,24-Mar-2026 05:07 PM,Rural Water Supply and Sanitation||RWSS Circle Cuttack||EE RWSS Divn Jagatsinghpur,2025_RWSS_121933_1,RWSS_38_2025-26,"SUPPLY,INSTALLATION,TESTING AND COMMISSIONING OF PACKAGED WATER TREATMENT PLANT(UNCONVENTIONAL TYPE) OF .3 MLD AT CHAKRADHARAPUR OF AM/NS PARADEEP UNDER KUJANGA BLOCK",1.0,3277770.0,M/s CEF ENGINEERING,INR,"3,500,000",JYOTI RANJAN DAS,Internal,,Jyotiranjan Das,24-Mar-2026 04:59 PM,techsummary_566824.pdf (478.92 KB),AOC
2,ICICI NEFT/RTGS,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
