S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2938762.0,JYOTI RANJAN RAUT,INR,"4,654,967.75",Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Harish Chandra Purty,20-Aug-2025 12:13 PM,finsummary_540175.pdf (476.98 KB),Technical,List Attached,Harish Chandra Purty,25-Jun-2025 05:35 PM,,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2025_CERWI_113605_3,Tender Online Divn.NPR-01/2025-26,Construction of BPHU building at CHC Charichhaka under Nimapara Block in the district of Puri for the year 2024-25 under PM ABHIM,Finance,Lottery on dtd. 30.06.2025 from 3.30PM,Satyajit Dalai,28-Jun-2025 02:45 PM,finance_540175.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Harish Chandra Purty,25-Jun-2025 05:46 PM,25-Jun-2025 06:00 PM,techsummary_540175.pdf (478.01 KB),1.0,Revocation,Wrong entry,25-Jun-2025 01:33 PM,Committee.pdf ,529.32,Technical Opening,21-Aug-2025,"INR 4,654,967.75",90.0,Mausumi Mishra,09-Mar-2026 09:55 AM,Chari.pdf (898.00 KB),1,2939055,ABHIJIT SWAIN,28-May-2025 08:17 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",19-May-2025 04:45 PM,30-May-2025 11:00 AM,19-May-2025 04:45 PM,29-May-2025 05:00 PM,19-May-2025 04:45 PM ,28-May-2025 05:00 PM ,19-May-2025 04:45 PM,29-May-2025 05:00 PM,25-Jun-2025 06:00 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender Online Divn.NPR-01/2025-26,2025_CERWI_113605_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"54,760",Yes,percentage,1.0%,Nil,Nil,"O/O THE SUPERINTENDING ENGINEER, R.W DIVISION, NIM","O/O THE SUPERINTENDING ENGINEER, R.W DIVISION, NIM",Construction of BPHU building at CHC Charichhaka under Nimapara Block in the district of Puri for the year 2024-25 under PM ABHIM,Building Works,Please refer Tender documents. ,NA ,"54,76,000",Civil Works - Buildings,NA ,Tender,90.0,90.0,Nimapara,752106.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, R.W DIVISION, NIMAPARA",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2939323,BASANTA KUMAR KANDI,29-May-2025 03:19 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"Work in Hand, Machineries, Affidavit of Correctness Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2931001,BASANT SWAIN,24-May-2025 04:57 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,,,.pdf,"No Relationship Certificate, ATO work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2940630,BIBHU PRASANNA MOHANTY,29-May-2025 04:35 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2936444,BISWOJIT PATTANAIK,27-May-2025 11:05 PM,Rejected-Technical,Disqualified,25-Jun-2025 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2940194,JITENDRA PRASAD BEHERA,29-May-2025 01:17 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2938762,JYOTI RANJAN RAUT,28-May-2025 05:54 PM,Accepted-AOC,Work has been awarded to in lottery system,09-Mar-2026 09:55 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2940719,Lalita Mohanty,29-May-2025 03:39 PM,Rejected-Technical,Disqualified,25-Jun-2025 05:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2939254,LAXMIDHAR SETHY,29-May-2025 12:14 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2940467,LAXMIDHAR SWAIN,29-May-2025 02:29 PM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2932175,PADMALOCHAN PRADHAN,27-May-2025 10:01 AM,Rejected-Finance,Not Selected in lottery system,20-Aug-2025 12:13 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
