Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,08-Dec-2025 11:00 AM,19-Dec-2025 11:00 AM,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,NA ,NA ,08-Dec-2025 11:00 AM,18-Dec-2025 05:00 PM,1.0,ICICI BANK,Development of Road and Drain from Panua Fruit Shop to Birabar Das House.,Development of Road and Drain from Panua Fruit Shop to Birabar Das House.,Please refer Tender documents. ,NA ,"2,54,340",Civil Works - Others,NA ,Tender,120.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,"Office of the Executive Officer, Bhuban NAC",No ,No,Municipal Bodies||Bhuban NAC,BBN NAC 05/2025-26,2025_ORULB_122602_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC",1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,1.0,Notice,Other,,"2,543",Yes,percentage,1.0%,Nil,Nil,AOC,Municipal Bodies||Bhuban NAC,2025_ORULB_122602_9,BBN NAC 05/2025-26,Development of Road and Drain from Panua Fruit Shop to Birabar Das House.,Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,09-Mar-2026 12:57 PM,finsummary_569535.pdf (2502.02 KB),Finance,ok,SURENDRA NATH SAHOO,06-Mar-2026 10:42 AM,,BOQ Comparative Chart,1.0,3313450.0,KRISHNA GLOBAL SOLUTIONS,INR,"241,649",1,3309546,AJAY KUMAR SAHOO,17-Dec-2025 03:49 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,12-Mar-2026,"INR 241,649",60.0,SURENDRA NATH SAHOO,12-Mar-2026 11:50 AM,9_647.pdf (405.00 KB),aoc,Chairperson,Internal,"Tahasildar, Block Finance Officer, Bhuban Block, Municipal Engineer, Bhuban NAC, Junior Engineer, Bhuban NAC, Executive Officer,",SURENDRA NATH SAHOO,09-Mar-2026 11:42 AM,techsummary_569535.pdf (2502.02 KB),AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3299026,Babuli Patra,18-Dec-2025 03:31 AM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3314120,Bishnu Charan Barik,18-Dec-2025 02:24 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3312549,CHINMAYEE SAHOO PROP OF SHIVANSH CONSTRUCTION,18-Dec-2025 12:18 AM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3296632,DEBENDRA SAHOO,12-Dec-2025 09:58 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3312318,JITENDRA BEHERA,17-Dec-2025 09:24 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3313450,KRISHNA GLOBAL SOLUTIONS,18-Dec-2025 04:27 PM,Accepted-AOC,cs,12-Mar-2026 11:50 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3312848,Krushna Chandra Das,18-Dec-2025 02:52 AM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3311833,Namita Sahoo,17-Dec-2025 05:31 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3309543,NAYAK AUTOMOBILES PROP- RAJENDRA KUMAR NAYAK,17-Dec-2025 02:16 PM,Rejected-Technical,CS,09-Mar-2026 11:42 AM,,,,,,,,,,,,,,AOC
