S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,3060820.0,BANSAL INFRAPROJECTS PRIVATE LIMITED,INR,"270,759,434",EIC-CIVIL,2025_EICCL_116687_1,CE-ROADS-II-08/2025-26,Improvement of Bausuni-Gundulia road from 0/000 km to 14/252 km (except from 13/484 km to 14/050 km) in the district of Boudh under State Plan,Technical,Opening after revocation,Pradipta Kumar Nayak,02-Dec-2025 07:27 PM,,CE Roads-II Odisha,Internal,,Pradipta Kumar Nayak,30-Mar-2026 10:24 AM,finsummary_548957.pdf (2552.32 KB),EIC Civil cum Roads Odisha,Internal,,Pradipta Kumar Nayak,02-Dec-2025 07:34 PM,04-Dec-2025 11:00 AM,techsummary_548957.pdf (673.91 KB),1.0,Tender Revocation,Tender revocation,02-Dec-2025 07:17 PM,Revoke_Bausuni_Gundulia.pdf ,95.19,Technical Opening,Finance,Opening,Pradipta Kumar Nayak,04-Dec-2025 03:38 PM,,BOQ Comparative Chart,30-Mar-2026,"INR 270,759,434",480.0,Pradipta Kumar Nayak,30-Mar-2026 10:28 AM,Bausuni_Gundulia.pdf (2552.00 KB),822P1 of 2025-26,1,3060820,BANSAL INFRAPROJECTS PRIVATE LIMITED,04-Sep-2025 12:49 PM,Accepted-AOC,Selected as L1 bidder,30-Mar-2026 10:28 AM,AOC,"31,85,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,EIC-CIVIL,CE-ROADS-II-08/2025-26,2025_EICCL_116687_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"Chief Engineer, Roads-II, Odisha","O/o the E.I.C (Civil-Cum-Roads), Odisha, Nirman Soudha, New Building, Unit-V, Bhubaneswar.",Improvement of Bausuni-Gundulia road from 0/000 km to 14/252 km (except from 13/484 km to 14/050 km) in the district of Boudh under State Plan,Improvement of Bausuni-Gundulia road from 0/000 km to 14/252 km (except from 13/484 km to 14/050 km) in the district of Boudh under State Plan,Please refer Tender documents. ,NA ,"31,85,03,040",Civil Works - Roads,NA ,Tender,90.0,480.0,Boudh Division,751001.0,NA ,NA ,NA ,"O/o the E.I.C (Civil-Cum-Roads), Odisha",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender Cost and EMD, GSTIN, PAN, RC and Affidavit",11-Aug-2025 05:30 PM,06-Sep-2025 11:30 AM,11-Aug-2025 05:30 PM,04-Sep-2025 05:30 PM,NA ,NA ,11-Aug-2025 05:30 PM,04-Sep-2025 05:30 PM,04-Dec-2025 11:00 AM,1.0,1st Corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3062256,BKD INFRASTRUCTURE PRIVATE LIMITED,04-Sep-2025 12:33 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and work experience,,,,,,,,,,2.0,Corrigendum to DTCN,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3060322,B Manoj Kumar Rao,04-Sep-2025 02:14 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3054159,DEMANTI AGRAWAL,29-Aug-2025 01:54 PM,Rejected-Technical,Disqualified,02-Dec-2025 07:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3043742,KAPILASH INFRASOL PROJECTS PRIVATE LIMITED,03-Sep-2025 01:47 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3050401,MAHIPAT LAL PATEL,04-Sep-2025 11:42 AM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3047178,MISHRA INFRA PROJECTS,25-Aug-2025 09:09 AM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046412,MITTAL INFRAPROJECTS,24-Aug-2025 01:52 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3054083,m/s Anand Kumar Agrawal,29-Aug-2025 12:31 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3050516,M/s Sri Durga Condev Private Limited,04-Sep-2025 05:01 PM,Rejected-AOC,L1 bidder,30-Mar-2026 10:28 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
