S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,02-Dec-2025 10:00 AM,15-Dec-2025 12:00 PM,02-Dec-2025 10:00 AM,12-Dec-2025 05:30 PM,02-Dec-2025 10:00 AM ,09-Dec-2025 05:30 PM ,02-Dec-2025 10:00 AM,12-Dec-2025 05:30 PM,09-Jan-2026 12:00 PM,Chief Engineer Mech - WR Bhubaneswar,CEM/MDC-21/2025-26,2025_CEMWR_122272_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,"40,483",Yes,percentage,1.0%,Nil,Nil,Supply Fabrication Transportation Erection of Construction Sluice cum VRB over Old Kani D C at RD 5600M Near Vilage Kothaburti Under Drainage Division Kendrapara for the year 2025 26,Supply Fabrication Transportation Erection of Construction Sluice cum VRB over Old Kani D C at RD 5600M Near Vilage Kothaburti Under Drainage Division Kendrapara for the year 2025 26,Please refer Tender documents. ,NA ,"40,48,251",Mechanical Works,NA ,Tender,90.0,60.0,Old Kani D C Vilage Kothaburti,754225.0,NA ,NA ,NA ,BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,Bid Documents,CHIEF ENGINEER MECHANICAL,O/o the EIC WR ODISHA BHUBANESWAR,AOC,23-Mar-2026,"INR 3,441,418",60.0,JITENDRA KUMAR ORAM,29-Mar-2026 12:24 PM,CEM21.pdf (770.00 KB),1,3296346,ABHISEKH ENTERPRISERS,11-Dec-2025 09:11 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,Finance,All docs downloaded,SASANKA SEKHAR MOHANTY,09-Jan-2026 02:05 PM,,BOQ Comparative Chart,CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,08-Jan-2026 06:20 PM,09-Jan-2026 12:00 PM,techsummary_568137.pdf (1310.02 KB),CE MECHANICAL,Internal,,JITENDRA KUMAR ORAM,24-Feb-2026 05:46 PM,finsummary_568137.pdf (1310.02 KB),Chief Engineer Mech - WR Bhubaneswar,2025_CEMWR_122272_1,CEM/MDC-21/2025-26,Supply Fabrication Transportation Erection of Construction Sluice cum VRB over Old Kani D C at RD 5600M Near Vilage Kothaburti Under Drainage Division Kendrapara for the year 2025 26,Technical,All docs downloaded successfully.,SASANKA SEKHAR MOHANTY,15-Dec-2025 01:25 PM,,1.0,3296092.0,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",INR,"3,441,418",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC,,,,,,,2,3294573,BANASHREE BHUYAN,12-Dec-2025 12:35 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3294564,LAXMIDHRA BHUYAN,12-Dec-2025 10:24 AM,Rejected-Technical,Technically rejected,08-Jan-2026 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3274732,M/S Abirvab Steel Product,12-Dec-2025 10:57 AM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3281969,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,11-Dec-2025 07:38 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3274808,M/S Ashreebad Fabricators,12-Dec-2025 01:06 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3296133,M/S KALINGA METAL PRODUCT (PROP. SMT BASANTILATA MOHANTY,11-Dec-2025 07:19 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3296092,"M/S MOHANTY INDUSTRIAL ENTERPRISERS -PROPRIETOR ,MALAYA KUMAR MOHANTY",11-Dec-2025 07:04 PM,Accepted-AOC,Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3294510,ORIFEB INDUSTRIES,11-Dec-2025 08:52 PM,Rejected-Technical,Technically rejected,08-Jan-2026 06:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3280698,SUSHIL KUMAR DAS,11-Dec-2025 07:49 PM,Rejected-AOC,Not a Winner of lottery,29-Mar-2026 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
