EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"81,065",Yes,fixed,,Nil,Nil,"10,000","1,800",Nil,Nil,No,1.0,Construction of Compound Wall at Way Side Amenity WAC Rameswar in Khordha District,Date,,Odisha Tourism Devl. Corp.,BPI/20/2025-26 Dt. 03.10.2025,2025_OTDC_119371_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,13-Oct-2025 09:00 AM,04-Nov-2025 11:30 AM,13-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,NA ,NA ,13-Oct-2025 09:00 AM,03-Nov-2025 05:00 PM,18-Dec-2025 12:30 PM,Construction of Compound Wall at Way Side Amenity WAC Rameswar in Khordha District,Construction of Compound Wall at Way Side Amenity WAC Rameswar in Khordha District,Please refer Tender documents. ,NA ,"81,06,438",Civil Works - Others,NA ,Tender,180.0,120.0,Rameswar Khordha,752020.0,NA ,NA ,NA ,O/o Superintending Engineer OTDC Ltd Bhubaneswar,No ,No,O/o Superintending Engineer OTDC Ltd Bhubaneswar,O/o Superintending Engineer OTDC Ltd Bhubaneswar,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DTCN,AOC,Finance,FINANCIAL PROCEEDING,Sunil Kumar Behera,12-Mar-2026 05:33 PM,finance_555535.pdf,BOQ Comparative Chart,Technical,LIST OF BIDDERS,Lopamudra Behera,13-Nov-2025 06:58 PM,technical_555535.pdf,1,3152572,ALOK KUMAR SAHOO,25-Oct-2025 08:12 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,12-Mar-2026,"INR 6,891,282.98",120.0,Sunil Kumar Behera,12-Mar-2026 05:43 PM,workorder.pdf (1137.00 KB),WORK ORDER,S.K. Behera,Internal,"S.K. JENA, A.S. SWAIN",Sunil Kumar Behera,12-Mar-2026 05:38 PM,finsummary_555535.pdf (546.47 KB),S.K. Behera,Internal,"S. MISHRA, A. S. SWAIN, D. MALICK",Lopamudra Behera,18-Dec-2025 12:22 PM,18-Dec-2025 12:30 PM,techsummary_555535.pdf (7414.66 KB),1.0,3149224.0,ANJALI SAHOO,INR,"6,891,282.98",Odisha Tourism Devl. Corp.,2025_OTDC_119371_1,BPI/20/2025-26 Dt. 03.10.2025,Construction of Compound Wall at Way Side Amenity WAC Rameswar in Khordha District,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Other Documents as per DTCN,AOC,,,,,,,,,,,,2,3149224,ANJALI SAHOO,31-Oct-2025 12:02 PM,Accepted-AOC,SUCCESSFUL BIDDER,12-Mar-2026 05:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,AOC,,,,,,,,,,,,3,3152395,Bimalesh Nayak,27-Oct-2025 01:01 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,3158258,BISWOJIT PATTANAIK,27-Oct-2025 12:12 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,3149245,CHANDAN SAHOO,24-Oct-2025 05:52 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3173841,JANGYADATTA TRIPATHY,03-Nov-2025 10:19 AM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3158811,JANMEJAYA CHHOTARAY,03-Nov-2025 03:25 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3174436,LAXMIDHAR SETHY,02-Nov-2025 02:48 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3150462,M/S SILICON INTERIORS,27-Oct-2025 05:37 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3152638,RAMESH CHANDRA SAHOO,25-Oct-2025 08:33 PM,Rejected-Finance,UNSUCCESSFUL BIDDER,12-Mar-2026 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
