S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3406237.0,RAJKUMAR SATNAMI,INR,"978,967",Finance,Tender opening,Jay Prakash Soren,20-Mar-2026 06:11 PM,finance_581702.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Estimator, DAO,EE",Jay Prakash Soren,20-Mar-2026 06:30 PM,finsummary_581702.pdf (841.00 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_126210_3,EERWNGP Online 12 2025 26,SR to Bhanjaguda to Poluguda road under Nandahadi Block the year 2025 26.,Executive Engineer,Internal,"Estimator,DAO,EE",Jay Prakash Soren,20-Mar-2026 06:21 PM,techsummary_581702.pdf (841.00 KB),1,3412199,AKASH BISSOI,26-Feb-2026 09:25 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,20-Mar-2026,"INR 978,967",15.0,Jay Prakash Soren,20-Mar-2026 06:40 PM,1412.pdf (205.00 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,SR to Bhanjaguda to Poluguda road under Nandahadi Block the year 2025 26.,SR to Bhanjaguda to Poluguda road under Nandahadi Block the year 2025 26.,Please refer to Tender documents ,NA ,"9,78,967",Civil Works - Roads,NA ,Tender,90.0,15.0,Nandahandi,764078.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,"4,000",0.0,Nil,Nil,No,18-Feb-2026 10:00 AM,27-Feb-2026 11:00 AM,18-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,18-Feb-2026 10:00 AM ,26-Feb-2026 05:00 PM ,18-Feb-2026 10:00 AM,26-Feb-2026 05:00 PM,"9,790",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR",1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 12 2025 26,2026_CERWI_126210_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3411685,AMLAN JYOTI MADALA,26-Feb-2026 02:48 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3407241,ASHISH KUMAR NAYAK,21-Feb-2026 08:23 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3410877,ASHOK MOHANTY,25-Feb-2026 12:12 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3409098,BABITA KUMARI MOHAPATRA,25-Feb-2026 12:18 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3412834,BIBEKANANDA NAYAK,26-Feb-2026 03:19 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3411066,BIKASH KUMAR AGRAWAL,25-Feb-2026 01:34 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3410829,DEBA RANJAN PATRA,25-Feb-2026 11:38 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3407260,ESWAR HARIJAN,21-Feb-2026 08:42 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3411638,ISRAEL KHAN,25-Feb-2026 05:26 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 06:40 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
