Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Reinforcement of Damfauda RL and Mahuri TW LIP under Betnoti Block in Mayurbhanj District,Reinforcement of Damfauda RL and Mahuri TW LIP under Betnoti Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"6,03,933",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Baripada,757002.0,NA ,NA ,NA ,"EE, M.L.I Division, Baripada",No ,No,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,BID ID NO. 5459 (OLIC/2025-26) DATED 06.10.2025,2025_OLIC_119447_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Tender Paper cost EMD PAN GST Civil License Experience as per DTCN,"EE, M.L.I Division, Baripada","EE, M.L.I Division, Baripada Near Chhou Padia, Infront of Stadium, Bhanjpur, Baripada, Mayurbhanj, Odisha, 757002",1,ICICI BANK,"4,720",0.0,Nil,Nil,No,"6,039",Yes,percentage,1.0%,Nil,Nil,15-Oct-2025 11:00 AM,23-Oct-2025 11:00 AM,15-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,15-Oct-2025 11:00 AM ,20-Oct-2025 05:00 PM ,15-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,28-Oct-2025 11:00 AM,AOC,1.0,3142509.0,DAYANIDHI KABI,INR,"605,816",Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,2025_OLIC_119447_4,BID ID NO. 5459 (OLIC/2025-26) DATED 06.10.2025,Reinforcement of Damfauda RL and Mahuri TW LIP under Betnoti Block in Mayurbhanj District,Jogindra Ratha,Internal,,JOGINDRA RATHA,27-Oct-2025 05:17 PM,28-Oct-2025 11:00 AM,techsummary_555921.pdf (328.28 KB),05-Mar-2026,"INR 605,816",90.0,JOGINDRA RATHA,05-Mar-2026 01:24 PM,Damfauda_Mahuri.pdf (346.00 KB),Jogindra Ratha,Internal,,JOGINDRA RATHA,05-Mar-2026 12:34 PM,finsummary_555921.pdf (328.28 KB),Finance,Accept,JOGINDRA RATHA,05-Mar-2026 12:03 PM,finance_555921.pdf,BOQ Comparative Chart,Technical,Due to furnished all documents,JOGINDRA RATHA,27-Oct-2025 05:00 PM,technical_555921.pdf,1,3139253,AJAY KUMAR GIRI,22-Oct-2025 07:39 AM,Rejected-AOC,L2,05-Mar-2026 01:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3142509,DAYANIDHI KABI,22-Oct-2025 02:15 PM,Accepted-AOC,L1,05-Mar-2026 01:24 PM,AOC
