Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,3 nos of Bidders participated,Sudarsan Sadangi,09-May-2023 11:27 AM,,MD OLIC,External,FA CAO SPECIAL SECRETARY DOWR FA AND CAO OLIC ED (TECH) OLIC ACE RWSS AEE GWD EE(MP) OLIC,Sudarsan Sadangi,04-Jan-2024 01:25 PM,finsummary_434615.pdf (3082.89 KB),Orissa Lift Irrigation Corporation,2023_OLIC_88019_1,3155 Dt-17.04.2023,Installation Electrification Energisation and Commissioning of Borewells in BARGARH DISTRICT PKG 01 BID ID 19,1.0,2131147.0,DINESH KUMAR AGRAWAL,INR,"124,924,639.27",04-Jan-2024,"INR 124,924,639.27",180.0,Sudarsan Sadangi,31-Mar-2026 03:28 PM,OrderBargarh01.pdf (2856.00 KB),ORDER,Finance,Two numbers of Bidders participated,Sudarsan Sadangi,11-Sep-2023 05:10 PM,,BOQ Comparative Chart,1,2131147,DINESH KUMAR AGRAWAL,08-May-2023 03:46 PM,Accepted-AOC,L-1 Bidder,31-Mar-2026 03:28 PM,CE MECH DOWR,External,FA CAO ED TECH ADDL CE RWSS AEE MECH GWD SE S AND I ELECT EIC EE MP,Sudarsan Sadangi,08-Sep-2023 03:11 PM,11-Sep-2023 04:30 PM,techsummary_434615.pdf (128.02 KB),AOC,Installation Electrification Energisation and Commissioning of Borewells in BARGARH DISTRICT PKG 01 BID ID 19,Installation Electrification Energisation and Commissioning of Borewells in BARGARH DISTRICT PKG 01 BID ID 19,Please refer Tender Documents ,NA ,"13,28,99,000",Civil Works - Lift Irrigation Schemes,NA ,Tender,180.0,180.0,BARGARH,768028.0,NA ,NA ,NA ,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,No ,No,MD OLIC BBSR,OFFICE OF MD OLIC N 17 2 NAYAPALLI BHUBANESWAR,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"TENDER COST, EMD, GST, PAN AND ALL OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation,3155 Dt-17.04.2023,2023_OLIC_88019_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"13,29,000",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,Yes,21-Apr-2023 10:00 AM,09-May-2023 11:00 AM,21-Apr-2023 10:00 AM,08-May-2023 05:00 PM,21-Apr-2023 10:00 AM ,29-Apr-2023 05:00 PM ,21-Apr-2023 10:00 AM,08-May-2023 05:00 PM,11-Sep-2023 04:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2129152,M/s Ganesh Borewells,04-May-2023 05:06 PM,Rejected-Technical,Technically disqualified by Technical Committee,08-Sep-2023 03:11 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2130270,TIRUPATI DRILLING AND MINING SERVICES PVT. LTD,08-May-2023 04:20 PM,Rejected-Finance,Rejected by Tender Committee,04-Jan-2024 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
