Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004",1.0,ICICI BANK,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-13/2024-25",2025_CEBMB_111128_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,27-Feb-2025 10:00 AM,17-Mar-2025 11:30 AM,27-Feb-2025 10:00 AM,13-Mar-2025 05:00 PM,27-Feb-2025 10:00 AM ,10-Mar-2025 05:00 PM ,27-Feb-2025 10:00 AM,13-Mar-2025 05:00 PM,04-Nov-2025 11:30 AM,Improvement to LFB of river Rushikulya near village Brahmunichhai,Improvement to LFB of river Rushikulya near village Brahmunichhai,Please refer Tender documents. ,NA ,"8,32,95,388",Civil Works - Others,NA ,Tender,90.0,330.0,Aska,761110.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC","8,33,000",Yes,fixed,,Nil,Nil,AOC,1,2844050,Gajendra Prasad Panda,12-Mar-2025 08:49 PM,Rejected-Technical,Non-Responsive,01-Nov-2025 01:49 PM,13-Feb-2026,"INR 70,809,410",330.0,Rajib Kumar Pandit,06-Mar-2026 03:54 PM,AOCBrahmunichhai.pdf (1181.00 KB),"This work is awarded to Sri Prakash Chandra Sahu, vide agreement No.512 P1/2025-26 of Bhanjanagar Irrigation Division, Bhanjanagar.",Finance,Downloaded successfully.,Rajib Kumar Pandit,03-Dec-2025 11:39 AM,,BOQ Comparative Chart,"Sagar Mohanty, EIC Procurement",Internal,,Rajib Kumar Pandit,01-Nov-2025 01:49 PM,04-Nov-2025 11:30 AM,techsummary_531485.pdf (2766.96 KB),"Sagar Mohanty, EIC Procurement",Internal,,Rajib Kumar Pandit,15-Dec-2025 11:57 AM,finsummary_531485.pdf (633.89 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_111128_1,"ACE,RBB-13/2024-25",Improvement to LFB of river Rushikulya near village Brahmunichhai,Technical,Downloaded successfully.,Rajib Kumar Pandit,24-Oct-2025 05:03 PM,,1.0,2849932.0,Prakash Chandra Sahu,INR,"70,809,410",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",,,,,,,AOC,2,2845521,Ganesh Chandra Mohanty,12-Mar-2025 05:10 PM,Rejected-Technical,Non-Responsive,01-Nov-2025 01:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN.,,,,,,,AOC,3,2850451,G.Gopal Rao Dora,13-Mar-2025 11:58 AM,Rejected-Finance,Unsuccess in transparent lottery.,15-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,4,2853158,Girish Kumar Tripathy,13-Mar-2025 10:15 AM,Rejected-Finance,Unsuccess in transparent lottery.,15-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2849747,M/s Bajarangi Construction,12-Mar-2025 09:10 PM,Rejected-Finance,Unsuccess in transparent lottery.,15-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2850350,Panchanan Sahu,11-Mar-2025 12:58 PM,Rejected-Technical,Non-Responsive,01-Nov-2025 01:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2853426,PRABIN KUMAR DALABEHERA,13-Mar-2025 12:40 PM,Rejected-Technical,Non-responsive,01-Nov-2025 01:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2849932,Prakash Chandra Sahu,11-Mar-2025 09:36 PM,Accepted-AOC,Winner of the lottery,06-Mar-2026 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2851061,Ranjit Kumar Swain,12-Mar-2025 05:28 PM,Rejected-Finance,Unsuccess in transparent lottery.,15-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2846583,Surendranath Gouda,13-Mar-2025 02:04 PM,Rejected-Finance,Unsuccess in transparent lottery.,15-Dec-2025 11:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
