S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3372308.0,BALAJI PANIGRAHI,INR,"503,400",Finance,Tender Opened,Durga Madhaba Padhi,12-Mar-2026 11:15 AM,finance_577176.pdf,BOQ Comparative Chart,SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,12-Mar-2026 11:36 AM,finsummary_577176.pdf (1019.68 KB),EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,2026_EICCL_124928_5,RC(RANDB) RGD NO. II/ 19 /2025-26,"S/R to Gunupur -Puttasing road such as Jungle Cutting ,Fixing of Kilometer stone and guard post with Tree and Kilometer Stone painting from 00/00 to 10/000 km during 2025-26",SE No-II Rayagada,Internal,"SE,DAO,Estimator",Durga Madhaba Padhi,12-Mar-2026 11:23 AM,techsummary_577176.pdf (1019.68 KB),12-Mar-2026,"INR 503,400",30.0,Durga Madhaba Padhi,12-Mar-2026 11:46 AM,WO_GP.pdf (661.00 KB),"Work is Awarded to Sri Balaji Panigrahi through transparent lottery system, Bid Work order No-890, Dt-17.02.2026 of R and B Division-II, Rayagada",1,3366557,BALAJI BAURI (SC),26-Jan-2026 06:49 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,22-Jan-2026 11:00 AM,30-Jan-2026 11:00 AM,22-Jan-2026 11:00 AM,29-Jan-2026 05:00 PM,NA ,NA ,22-Jan-2026 11:00 AM,29-Jan-2026 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-RAYAGADA||EERNB-DIVN-RAYAGADA NEW,RC(RANDB) RGD NO. II/ 19 /2025-26,2026_EICCL_124928_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,100",Yes,fixed,,Nil,Nil,"S/R to Gunupur -Puttasing road such as Jungle Cutting ,Fixing of Kilometer stone and guard post with Tree and Kilometer Stone painting from 00/00 to 10/000 km during 2025-26",Road Work,Please refer tender document ,NA ,"5,03,400",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765017.0,NA ,NA ,NA ,Office of SE R and B Division No-II,No ,No,"4,000",0.0,Nil,Nil,No,SE R and B Division No-II,Office of SE R and B Division No-II,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper,GST,RC,PAN,LC,affidavit,and other documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3372308,BALAJI PANIGRAHI,29-Jan-2026 02:29 PM,Accepted-AOC,First Lowest and Work is awarded through transparent lottery system,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3371735,BIKRAM HIAL,29-Jan-2026 12:09 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3371755,CHINNARI VENKATA KRISHNA RAO,29-Jan-2026 12:10 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3372071,JAGADISH PANDA,29-Jan-2026 01:22 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3371220,JANI VENKATA RAO BAURI,29-Jan-2026 12:18 AM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3370591,NIRUPAMA GOUDA,28-Jan-2026 04:02 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3372009,PRASANT KUMAR MISHRA,29-Jan-2026 01:13 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3371399,PRIYANKA PANDA,29-Jan-2026 08:53 AM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3370635,REDDY KRISHNA RAO,28-Jan-2026 04:51 PM,Rejected-AOC,First Lowest,12-Mar-2026 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
