Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Divisional Officer,"POTTAKOKHARI, NAYABAZAR, CUTTACK.",S/R to L034-PWD Road to Adheigundi from 2/00 to 2/180 Km. for the year 2025-26,S/R to L034-PWD Road to Adheigundi from 2/00 to 2/180 Km. for the year 2025-26,Please refer Tender documents. ,NA ,"7,99,109",Miscellaneous Works,NA ,Tender,90.0,15.0,Cuttack,753004.0,NA ,NA ,NA ,"O/o the S.E, R.W. Divivision-II, Cuttack",No ,No,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,"7,990",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"ONLINE PAPER COST, EMD, GSTIN, R.C, AFFIDAVIT AND ANY OTHER DOCUMENTS AS PER DTCN.",20-Feb-2026 11:00 AM,27-Feb-2026 11:30 AM,20-Feb-2026 11:00 AM,26-Feb-2026 05:30 PM,20-Feb-2026 11:00 AM ,26-Feb-2026 02:00 PM ,20-Feb-2026 11:00 AM,26-Feb-2026 05:30 PM,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,SECTC-II-35 OF 2025-26,2026_CERWI_126321_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,16-Mar-2026,"INR 799,029",15.0,Monalisa Mahunta,16-Mar-2026 12:16 PM,aocadhe.pdf (572.00 KB),AGREEMENT DRAWN.,1,3409783,SAI CHANDAN MOHAPATRA,24-Feb-2026 02:14 PM,Rejected-AOC,"2ND LOWEST BIDDER, SO REJECTED.",16-Mar-2026 12:16 PM,SE,Internal,EE AND DAO,Chandini Suman Sahoo,16-Mar-2026 12:00 PM,techsummary_582041.pdf (645.42 KB),SE,Internal,EE AND DAO,Chandini Suman Sahoo,16-Mar-2026 12:03 PM,finsummary_582041.pdf (645.42 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK-II,2026_CERWI_126321_1,SECTC-II-35 OF 2025-26,S/R to L034-PWD Road to Adheigundi from 2/00 to 2/180 Km. for the year 2025-26,1.0,3407826.0,SUJATA PANDA,INR,"799,029",Finance,summary,Chandini Suman Sahoo,27-Feb-2026 12:25 PM,finance_582041.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3407826,SUJATA PANDA,23-Feb-2026 09:01 AM,Accepted-AOC,"THE 1ST LOWEST BIDDER, SO DIRECT QUALIFY THE AGREEMENT.",16-Mar-2026 12:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
