Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
06-Dec-2025,"INR 1,339,901",30.0,Kanan Pradhan,26-Mar-2026 10:49 PM,img248.pdf (227.00 KB),CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,2025_CERWI_120117_28,DMGH / Online-08 of 2025-26,Special repair of road PWD Road - Khaliakani in the Dist of Kalahandi for the year 2025-26,1.0,3206232.0,TAPASHREE NAIK,INR,"1,339,901",1,3178941,Anubhab Mishra,04-Nov-2025 11:47 AM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,Finance,All documents downloaded,Kanan Pradhan,06-Dec-2025 05:17 PM,finance_558699.pdf,BOQ Comparative Chart,Superintending Engineer and Estimator,Internal,Superintending Engineer and Estimator,Kanan Pradhan,06-Dec-2025 05:25 PM,finsummary_558699.pdf (655.09 KB),Superintending Engineer and Estimator,Internal,Superintending Engineer and Estimator,Kanan Pradhan,06-Dec-2025 05:20 PM,techsummary_558699.pdf (383.67 KB),AOC,"SE, RWD, Dharmagarh","O/o SE, RWD, Dharmagarh",Special repair of road PWD Road - Khaliakani in the Dist of Kalahandi for the year 2025-26,Special repair of road PWD Road - Khaliakani in the Dist of Kalahandi for the year 2025-26,Please refer DTCN ,NA ,"15,76,168",Civil Works - Roads,NA ,Tender,90.0,30.0,Dharmagarh / Kalahandi,766015.0,NA ,NA ,NA ,"O/o SE, RWD, Dharmagarh",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BHAWANIPATNA||RWDIVISION-DHARMAGARH,DMGH / Online-08 of 2025-26,2025_CERWI_120117_28,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"15,762",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TPC EMD GSTIN PAN RC Affidavits NRC Secrrenshot required documents as per DTCN,30-Oct-2025 10:00 AM,11-Nov-2025 11:00 AM,30-Oct-2025 10:00 AM,10-Nov-2025 05:00 PM,30-Oct-2025 10:00 AM ,07-Nov-2025 05:00 PM ,30-Oct-2025 10:00 AM,10-Nov-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,3188011,BALLABHI SENAPATI,09-Nov-2025 03:49 PM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3195600,DUSILA SAHU,10-Nov-2025 11:10 AM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3205306,HARA MEHER,10-Nov-2025 10:34 AM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3197930,HEMAKANTI BEHERA,10-Nov-2025 12:10 PM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3179144,Jitendra Kumar Naik,04-Nov-2025 08:14 AM,Rejected-Technical,Wrong Affidavit,06-Dec-2025 05:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3183019,KHITEESUTA SAHU,09-Nov-2025 12:00 AM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3178819,KIRAN KUMAR SAHU,04-Nov-2025 12:54 PM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3191365,PRADEEP KUMAR NAIK,07-Nov-2025 12:00 AM,Rejected-Technical,Wrong Affidavit,06-Dec-2025 05:20 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3203777,PRATAP KISHOR NAIK,09-Nov-2025 09:48 PM,Rejected-Finance,Rejected in Lottery System,06-Dec-2025 05:25 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
