Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,"27,901",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Executive Engineer, RW Division-II, Umerkote","O/o the Executive Engineer, Rural Works Division-II, Nabarangpur, Umerkote",T10006 to Sindhigam Road,"Periodical Renewal Work of 5 year Post DLP PMGSY Road under State Budget Grant for the road T10006 to Sindhigam, vide Package No- OR-22-289 (B) for the year 2025-26",NA ,NA ,"27,90,018",Civil Works - Roads,NA ,Tender,90.0,60.0,Umerkote,764073.0,NA ,NA ,NA ,"O/o the Executive Engineer, R W D-II, Umerkote",No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,Online Tender 17 RWD-UKT 2025-26 (04),2026_CERWI_124392_1,No,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,09-Jan-2026 05:00 PM,20-Jan-2026 11:00 AM,09-Jan-2026 05:00 PM,19-Jan-2026 05:00 PM,09-Jan-2026 05:00 PM ,17-Jan-2026 01:00 PM ,09-Jan-2026 05:00 PM,19-Jan-2026 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid RC, PAN, Valid GST, Caste, Affidavits, Machinery and Other Documents as per DTCN",AOC,1,3359401,BASUDEV SETHI,19-Jan-2026 01:42 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,06-Mar-2026,"INR 2,371,795",60.0,Gobinda Chandra Tudu,06-Mar-2026 06:32 PM,Agmt142.pdf (736.00 KB),Agmt Amount,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,06-Mar-2026 06:05 PM,techsummary_575091.pdf (157.98 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR - II,2026_CERWI_124392_1,Online Tender 17 RWD-UKT 2025-26 (04),T10006 to Sindhigam Road,Executive Engineer,Internal,"Estimator,DAO-I,Executive Engineer",Gobinda Chandra Tudu,06-Mar-2026 06:18 PM,finsummary_575091.pdf (157.98 KB),Finance,16 bidders are participated for the above work.,Gobinda Chandra Tudu,06-Mar-2026 05:40 PM,finance_575091.pdf,BOQ Comparative Chart,1.0,3358482.0,SRI KALU CHARAN BISWAL,INR,"2,371,795",AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC,2,3360112,BISHNU PRASAD MOHAPATRA,19-Jan-2026 04:51 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3359623,DIGAMBAR MOHANTY,19-Jan-2026 03:49 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3358888,Geeta Rani Patro,19-Jan-2026 11:02 AM,Rejected-Technical,concrete mixture not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3358812,GOURI PRASAD PATRO,19-Jan-2026 11:13 AM,Rejected-Technical,concrete mixture not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3359754,J. Raja,19-Jan-2026 02:34 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3359764,Laxmiprasad Patra,19-Jan-2026 02:20 PM,Rejected-Technical,Machinaries not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3359735,MAKUL KUMAR MANDAL,19-Jan-2026 02:10 PM,Rejected-Technical,Machinaries not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3358287,MANI KUMAR DALAI,17-Jan-2026 03:25 PM,Rejected-Technical,Motor grader not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3359872,NIHAR RANJAN JENA,19-Jan-2026 03:06 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3359025,NILAMADHAB NAIK,19-Jan-2026 03:49 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3359091,Rameswar Gond,19-Jan-2026 11:31 AM,Rejected-Technical,concrete mixture not submitted,06-Mar-2026 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,3360152,SAHIL KHAN,19-Jan-2026 04:43 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,14,3358811,SANTOSH KUMAR MOHAPATRA,18-Jan-2026 05:58 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,15,3359633,SASWAT MAJHI,19-Jan-2026 04:13 PM,Rejected-AOC,L2 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,16,3358482,SRI KALU CHARAN BISWAL,19-Jan-2026 09:22 AM,Accepted-AOC,L1 bidder,06-Mar-2026 06:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
