S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,3315396.0,BABULI KUMAR SIYA,INR,"169,118",Finance,Bid opening,Avijit Barik,07-Mar-2026 12:37 PM,finance_571513.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,07-Mar-2026 12:43 PM,finsummary_571513.pdf (402.14 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_123139_1,SERWSBD Online 08 2025 26,SR to RW Staff Qtr Building (2R 34/2) at Sunabeda,Superintending Engineer,Internal,,Avijit Barik,07-Mar-2026 12:39 PM,techsummary_571513.pdf (515.29 KB),1,3313641,ASWINI PANIGRAHY,18-Dec-2025 12:39 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,07-Mar-2026,"INR 169,118",60.0,Avijit Barik,07-Mar-2026 12:48 PM,Wo342.pdf (723.00 KB),AOC,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",600.0,0.0,Nil,Nil,No,12-Dec-2025 12:30 PM,20-Dec-2025 11:00 AM,12-Dec-2025 12:30 PM,19-Dec-2025 05:00 PM,12-Dec-2025 12:30 PM ,18-Dec-2025 05:00 PM ,12-Dec-2025 12:30 PM,19-Dec-2025 05:00 PM,1.0,ICICI BANK,"2,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 08 2025 26,2025_CERWI_123139_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,SR to RW Staff Qtr Building (2R 34/2) at Sunabeda,SR to RW Staff Qtr Building (2R 34/2) at Sunabeda,NA ,NA ,"1,98,939",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3315396,BABULI KUMAR SIYA,18-Dec-2025 09:04 PM,Accepted-AOC,Qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,.xls,Boq,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3313524,BHAGIRATHI PANIGRAHY,18-Dec-2025 12:25 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3301025,BILLIAM BAGH,14-Dec-2025 12:48 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3312732,BINITA MANDINGI,17-Dec-2025 11:13 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3315254,BISHNU PRIYA MOHARAN,19-Dec-2025 11:04 AM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3316226,KAILASH CHANDRA CHOUDHURY,19-Dec-2025 11:08 AM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3315552,MANAS KUMAR PANDA,19-Dec-2025 10:18 AM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3317707,NABIN MUDULI,19-Dec-2025 04:23 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3315434,RAJENDRA SWAIN,18-Dec-2025 08:44 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3313796,SANTOSH KUMAR SAHU,18-Dec-2025 01:09 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3315211,SITARAM DASH,18-Dec-2025 09:29 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3316883,SITARAM GADANGA,19-Dec-2025 03:32 PM,Rejected-AOC,Not qualified,07-Mar-2026 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
