Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,23/OPHWC/2025-26,2025_OSPHW_123665_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"11,800",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Const. of Development of Holistic Infrastructure of Baba Akhandalmani Temple at Aradi, Bhadrak",Building Work,Please refer Tender documents. ,NA ,"7,34,30,926",Civil Works - Buildings,NA ,Tender,90.0,365.0,Bhadrak,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,22-Dec-2025 06:55 PM,07-Jan-2026 10:30 AM,22-Dec-2025 06:55 PM,06-Jan-2026 05:00 PM,NA ,NA ,22-Dec-2025 06:55 PM,06-Jan-2026 05:00 PM,05-Feb-2026 10:30 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"7,34,300",Yes,fixed,,Nil,Nil,AOC,1,3346639,NIRAKAR SAMAL,06-Jan-2026 02:01 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110 (k).,04-Feb-2026 05:46 PM,24-Mar-2026,"INR 66,095,176",365.0,Bikram Keshari Malla,24-Mar-2026 03:57 PM,ARADI.pdf (81.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 20.03.2026,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,Srikanta Samal,04-Feb-2026 05:46 PM,05-Feb-2026 10:30 AM,techsummary_572870.pdf (334.33 KB),Finance,Financial bid opened,MONALISHA PADHY,05-Feb-2026 11:08 AM,,BOQ Comparative Chart,Technical,3 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,07-Jan-2026 11:10 AM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_123665_1,23/OPHWC/2025-26,"Const. of Development of Holistic Infrastructure of Baba Akhandalmani Temple at Aradi, Bhadrak",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,24-Mar-2026 03:52 PM,finsummary_572870.pdf (363.56 KB),1.0,3346362.0,SUKANT NAYAK,INR,"66,095,176",AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3346218,Satya Brata Pattnaik,06-Jan-2026 12:44 PM,Rejected-Finance,DUE TO L2 BIDDER,24-Mar-2026 03:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3346362,SUKANT NAYAK,06-Jan-2026 12:14 PM,Accepted-AOC,QUALIFIED BIDDER,24-Mar-2026 03:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
