S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage
1.0,3244052.0,Ashis Kumar Sahu,INR,"10,843,684",WATCO Bhubaneswar,2025_WATCO_121210_1,WATCO (W)-22(04)/2025-26 Dtd.04.11.2025,"Laying of Pipe Line for water Supply to newly developed uncovered area in ward No.22, BMC under WATCO Section, Ghatikia Bhubaneswar",Technical,Twenty four no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,03-Dec-2025 12:38 PM,,Managing Director,Internal,,JAYALAXMI BISWAL,23-Mar-2026 11:37 AM,finsummary_563973.pdf (1119.66 KB),Managing Director,Internal,,JAYALAXMI BISWAL,13-Jan-2026 12:21 PM,15-Jan-2026 11:30 AM,techsummary_563973.pdf (5029.93 KB),Finance,Twenty three no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Debabrata Mohanty,15-Jan-2026 02:14 PM,,BOQ Comparative Chart,1,3263573,AJAYA KUMAR LENKA,28-Nov-2025 01:58 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,23-Mar-2026,"INR 10,843,684",365.0,JAYALAXMI BISWAL,23-Mar-2026 03:24 PM,AOC.pdf (450.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN","Laying of Pipe Line for water Supply to newly developed uncovered area in ward No.22, BMC under WATCO Section, Ghatikia Bhubaneswar","Laying of Pipe Line for water Supply to newly developed uncovered area in ward No.22, BMC under WATCO Section, Ghatikia Bhubaneswar",Please refer Tender documents. ,NA ,"1,27,56,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,Ghatikia Bhubaneswar,751003.0,NA ,NA ,NA ,Bhubaneswar,No ,No,WATCO Bhubaneswar,WATCO (W)-22(04)/2025-26 Dtd.04.11.2025,2025_WATCO_121210_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,28,000",Yes,fixed,,Nil,Nil,14-Nov-2025 05:00 PM,02-Dec-2025 12:30 PM,14-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,14-Nov-2025 05:00 PM ,20-Nov-2025 05:00 PM ,14-Nov-2025 05:00 PM,29-Nov-2025 05:00 PM,15-Jan-2026 11:30 AM,"11,800",Nil,Nil,No,Managing Director,"The Managing Director, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2571444",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3266679,ASHISH MOHANTY,29-Nov-2025 03:29 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3244052,Ashis Kumar Sahu,21-Nov-2025 01:17 PM,Accepted-AOC,Lowest bidder in Lottery,23-Mar-2026 03:24 PM,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3241754,Biswajeet Sahoo,26-Nov-2025 12:36 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3259163,CHINTAMANI KUNDA,29-Nov-2025 01:07 AM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3266766,Ghanashyam Bhoi,29-Nov-2025 03:54 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3231547,MANORANJAN PRADHAN,29-Nov-2025 10:38 AM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3246148,M/S HARA ENGINEERING WORKS,27-Nov-2025 11:39 AM,Rejected-Technical,Technically disqualified,13-Jan-2026 12:21 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3257006,M/s J M Construction,26-Nov-2025 01:17 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3261967,PABITRA KUMAR ACHARYA,29-Nov-2025 03:56 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3259499,RAJAT SAHANI,28-Nov-2025 05:25 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3260657,Rakesh Kumar Jena,27-Nov-2025 07:00 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3265763,RAKESH KUMAR KHANDUAL,29-Nov-2025 02:57 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3265960,RAMAKANTA PANDA,29-Nov-2025 01:21 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3262323,RANJIT KUMAR SWAIN,29-Nov-2025 02:48 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,3264982,SANGRAM SWAIN,28-Nov-2025 07:24 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3265917,SARBSHREE ENGINEERING AND CONSTRUCTIONS PVT LTD,29-Nov-2025 03:22 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,3266417,SATYAJIT PATRA,29-Nov-2025 03:39 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3266563,SOUBHAGYA KUMAR JENA,29-Nov-2025 02:49 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,3243365,SRABANI KAR,22-Nov-2025 11:58 AM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,3243764,SURENDRA KUMAR BEURA,26-Nov-2025 03:02 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,3264440,sushil kumar,28-Nov-2025 04:44 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,3266658,TAPAS KUMAR PRADHAN,29-Nov-2025 03:10 PM,Rejected-AOC,Not a lowest bidder,23-Mar-2026 03:24 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
