S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,Tender Revocation,Tender Revocation,09-Feb-2026 07:56 PM,237.pdf ,1520.81,Technical Opening,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Santoshi Mahapatra,09-Feb-2026 08:18 PM,10-Feb-2026 11:00 AM,techsummary_575137.pdf (1537.12 KB),Finance,Verified,Santoshi Mahapatra,10-Feb-2026 12:31 PM,finance_575137.pdf,BOQ Comparative Chart,1,3362736,AKASH KUMAR SENAPATI,21-Jan-2026 01:39 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,11-Mar-2026,"INR 27,271,003.388",30.0,Binod Behari Das,11-Mar-2026 06:45 PM,RGD07.pdf (513.00 KB),Work Awarded to Raghunandana Agrawal,1.0,3352950.0,Raghunandan Agrawal,INR,"27,271,003.388",Technical,Verified,Santoshi Mahapatra,09-Feb-2026 08:09 PM,technical_575137.pdf,CE RW I||RWCIRCLE-RAYAGADA,2026_CERWI_124420_1,NC30RWCRGDA202526,Periodical Renewal work of 5 year Post DLP PMGSY Road A PWD Road to Kunjabadi B RD Road to Khilimisiguda C Rd Road to Bondili D PWD Road to Utkapadu,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Rayagada, DAO Rayagada, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,11-Mar-2026 06:19 PM,finsummary_575137.pdf (487.70 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,10-Jan-2026 10:00 AM,22-Jan-2026 11:00 AM,10-Jan-2026 10:00 AM,21-Jan-2026 05:00 PM,10-Jan-2026 10:00 AM ,20-Jan-2026 05:00 PM ,10-Jan-2026 10:00 AM,21-Jan-2026 05:00 PM,10-Feb-2026 11:00 AM,Chief Construction Engineer,"Rural Works Circle, Rayagada Raniguda Farm Hathipathar Road",1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"3,20,798",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-RAYAGADA,NC30RWCRGDA202526,2026_CERWI_124420_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Periodical Renewal work of 5 year Post DLP PMGSY Road A PWD Road to Kunjabadi B RD Road to Khilimisiguda C Rd Road to Bondili D PWD Road to Utkapadu,Periodical Renewal work of 5 year Post DLP PMGSY Road A PWD Road to Kunjabadi B RD Road to Khilimisiguda C Rd Road to Bondili D PWD Road to Utkapadu,NA ,NA ,"3,20,79,759",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,2,3362954,Bhagaban Muguli,21-Jan-2026 04:12 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,3363065,JAY PRAKASH SHARMA,21-Jan-2026 04:30 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,3360927,KARAMJEET SINGH,21-Jan-2026 01:29 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,3362720,KRUSHNA CHANDRA BIDIKA,21-Jan-2026 01:16 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,3363037,Manoj Kumar Anduru,21-Jan-2026 04:33 PM,Rejected-Technical,"DISQUALIFIED due to inadequate Similar Nature of work experience, Financial Turn over and Bid capacity vide Clause No. 12 i,12 ii and 12 iii of DTCN.",09-Feb-2026 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,3358642,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,19-Jan-2026 06:47 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,3363189,M/s SHREE INFRA AND CO,21-Jan-2026 04:27 PM,Rejected-Technical,"DISQUALIFIED due to inadequate Similar Nature of work experience, vide Clause No.12 I of DTCN.",09-Feb-2026 08:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,3362386,RABINDRA MOHARANA,21-Jan-2026 04:46 PM,Rejected-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,3352950,Raghunandan Agrawal,20-Jan-2026 08:26 PM,Accepted-AOC,Work Awarded to Raghunandana Agrawal,11-Mar-2026 06:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
