S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3196308.0,RANJITA DASH,INR,"1,080,807.75",Finance,total 12 bidders accepted,Lambodar Naik,14-Nov-2025 01:24 PM,,BOQ Comparative Chart,Executive Engineer,Internal,,Lambodar Naik,23-Mar-2026 11:08 AM,finsummary_558380.pdf (399.38 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120099_8,SE/BDK-II/TCN-10/2025-26,S/R to PWD Road to Balimed for the year 2025-26 in the District of Bhadrak,Executive Engineer,Internal,,Lambodar Naik,23-Mar-2026 11:03 AM,techsummary_558380.pdf (278.60 KB),23-Mar-2026,"INR 1,080,807.75",30.0,Lambodar Naik,23-Mar-2026 11:13 AM,6538.pdf (404.00 KB),1,3183592,Bishnu Mohan Palitta,05-Nov-2025 12:14 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,S/R to PWD Road to Balimed for the year 2025-26 in the District of Bhadrak,S/R to PWD Road to Balimed for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"12,71,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120099_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","12,710",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3192352,HEMANTA KUMAR NAYAK,07-Nov-2025 10:21 AM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3198267,Kalandi Charan Sahu,08-Nov-2025 05:36 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3204585,Lipak Kumar Muduli,10-Nov-2025 12:55 AM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3194608,Niranjan Barik,08-Nov-2025 05:26 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3183977,PITAMBER NAYAK,06-Nov-2025 04:39 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3207937,PRITIPADMA MOHAPATRA,10-Nov-2025 03:10 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3201658,RAJKISHORE MISHRA,09-Nov-2025 04:52 PM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3200530,Ranjan Kumar Das,09-Nov-2025 11:49 AM,Rejected-AOC,rejected,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3196308,RANJITA DASH,08-Nov-2025 10:55 AM,Accepted-AOC,selected through transparent lottery system,23-Mar-2026 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
