Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-PHULBANI,CCE_R and B_PLB_09 of 2025_26,2025_EICCL_116876_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement of RGMS Road from 0/000 Km to 22/130 Km ( except from 3/500 Km to 3/535 Km and from 4/880 Km to 5/320 Km) in the District of Kandhamal under State Plan for the year 2025-26,Improvement of Raikia_Gandasila_Midiakia_Sarangada Road from 0/000 Km to 22/130 Km ( except from 3/500 Km to 3/535 Km and from 4/880 Km to 5/320 Km) in the District of Kandhamal under State Plan for the year 2025-26,Please Refer Tender Documents ,NA ,"7,87,38,165",Civil Works - Roads,NA ,Tender,90.0,270.0,Phulbani,762001.0,NA ,NA ,NA ,Office of the CCE Phulbani RandB Circle Phulbani,No ,No,19-Aug-2025 10:00 AM,03-Sep-2025 11:00 AM,19-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,19-Aug-2025 10:00 AM ,01-Sep-2025 05:00 PM ,19-Aug-2025 10:00 AM,02-Sep-2025 05:00 PM,13-Sep-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CCE Phulbani RandB Circle Phulbani,Office of the CCE Phulbani RandB Circle Phulbani District Kandhamal PIN 762001,1.0,Fee/PreQual/Technical,.pdf,"Online Bid Cost, EMD as per clause 06 of DTCN, affidavit, RC, PAN,GST","7,87,400",Yes,fixed,,Nil,Nil,AOC,CCE Phulbani (R and B) Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Phulbani RandB Division Phulbani DAO Phulbani RandB Division Phulbani PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,24-Mar-2026 01:55 PM,finsummary_549270.pdf (2020.47 KB),Technical,All document are received and under scrutiny,Pravat Kumar Das,03-Sep-2025 11:40 AM,,EIC-CIVIL||SERNB-CIRCLE-PHULBANI,2025_EICCL_116876_1,CCE_R and B_PLB_09 of 2025_26,Improvement of RGMS Road from 0/000 Km to 22/130 Km ( except from 3/500 Km to 3/535 Km and from 4/880 Km to 5/320 Km) in the District of Kandhamal under State Plan for the year 2025-26,1.0,3060633.0,Sandeep Panigrahi,INR,"66,935,314",1,3057096,MISHRA INFRA PROJECTS,30-Aug-2025 09:36 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,24-Mar-2026 01:55 PM,24-Mar-2026,"INR 66,935,314",270.0,Pravat Kumar Das,24-Mar-2026 02:06 PM,AgreementNo_390P1of2025_26.pdf (779.00 KB),Awarded being L1 bidder selected through transparent lottery system,Finance,All document are received and under scrutiny,Pravat Kumar Das,13-Sep-2025 11:35 AM,,BOQ Comparative Chart,CCE Phulbani RandB Circle Phulbani,Internal,CCE Phulbani RandB Circle Phulbani SE Phulbani RandB Division Phulbani DAO Phulbani RandB Division Phulbani PA to CCE Phulbani RandB Circle Phulbani,Pravat Kumar Das,11-Sep-2025 11:49 AM,13-Sep-2025 11:00 AM,techsummary_549270.pdf (691.36 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,"Work Experience, Machineries and other documents as per DTCN",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3060000,RABI PRASAD SUBUDHI,02-Sep-2025 01:26 PM,Rejected-Finance,Rejected being not selected through transparent lottery system,24-Mar-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3060775,Ranjan Kumar Pradhan,02-Sep-2025 01:36 PM,Rejected-Technical,The documents towards similar nature of work as per clause 14 not furnished 2_road work costing not less than 276 lakhs each having DBM/BM/BC/SDBC but NO RCC works in those 2road works Hence rejected as per clause14 and contract data of the DTCN,11-Sep-2025 11:49 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3060633,Sandeep Panigrahi,02-Sep-2025 10:53 AM,Accepted-AOC,Awarded being L1 bidder selected through transparent lottery system,24-Mar-2026 02:06 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3061003,SURENDRA KUMAR MAHAKUDA,02-Sep-2025 01:50 PM,Rejected-Finance,Rejected being L2 bidder,24-Mar-2026 01:55 PM,,,,,,,,,,,,,,,,,,,,,AOC
