Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,"15,250",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120110_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",S/R to Naikandihi to Balarampur road for the year 2025-26 in the District of Bhadrak,S/R to Naikandihi to Balarampur road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"15,25,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC,Executive Engineer,Internal,,Lambodar Naik,23-Mar-2026 11:35 AM,techsummary_558918.pdf (279.86 KB),Executive Engineer,Internal,,Lambodar Naik,23-Mar-2026 11:41 AM,finsummary_558918.pdf (409.42 KB),Finance,total 11 bidders accepted,Lambodar Naik,23-Mar-2026 11:31 AM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120110_39,SE/BDK-II/TCN-10/2025-26,S/R to Naikandihi to Balarampur road for the year 2025-26 in the District of Bhadrak,1.0,3207356.0,AKSHAYA KUMAR MOHANTY,INR,"1,296,992",1,3207356,AKSHAYA KUMAR MOHANTY,10-Nov-2025 02:02 PM,Accepted-AOC,selected through transparent lottery system,23-Mar-2026 11:48 AM,23-Mar-2026,"INR 1,296,992",30.0,Lambodar Naik,23-Mar-2026 11:45 AM,6513.pdf (403.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3183635,Bishnu Mohan Palitta,05-Nov-2025 12:25 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3192374,HEMANTA KUMAR NAYAK,07-Nov-2025 10:25 AM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3198293,Kalandi Charan Sahu,08-Nov-2025 05:40 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3194635,Niranjan Barik,10-Nov-2025 12:16 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3183607,PITAMBER NAYAK,06-Nov-2025 04:19 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3208035,PRITIPADMA MOHAPATRA,10-Nov-2025 03:22 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3201733,RAJKISHORE MISHRA,09-Nov-2025 05:26 PM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3200569,Ranjan Kumar Das,09-Nov-2025 11:55 AM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3196328,RANJITA DASH,08-Nov-2025 11:07 AM,Rejected-AOC,rejected,23-Mar-2026 11:48 AM,,,,,,,AOC
