S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"5,040",Yes,fixed,,Nil,Nil,01-Dec-2025 10:00 AM,06-Dec-2025 11:00 AM,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,01-Dec-2025 10:00 AM ,04-Dec-2025 05:00 PM ,01-Dec-2025 10:00 AM,06-Dec-2025 10:00 AM,EERW Division Boudh,O/o SERW Division Boudh,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,Online Tender07/EERW Division Boudh 2025-26,2025_CERWI_121572_180,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Repair to 6 nos E type quarter Block-B at 5th India Reserve Battallion Boudh for the year 2025-26,Repair to 6 nos E type quarter Block-B at 5th India Reserve Battallion Boudh for the year 2025-26,Please refer DTCN ,NA ,"5,04,168",Civil Works - Buildings,NA ,Tender,90.0,30.0,O/o SERWDivision Boudh,762014.0,NA ,NA ,NA ,O/o SERWDivision Boudh,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration certificate,PAN,GSTIN towards paper cost EMD affidvit other documents asper DTCN",AOC,1.0,3279631.0,SAJJAN NAIK,INR,"428,570",EE,Internal,EE DAO estimator,Madhusmita Dalei,05-Mar-2026 11:48 AM,finsummary_568432.pdf (667.80 KB),1,3276337,Amit Bansal,05-Dec-2025 03:54 AM,Rejected-Technical,Disqulified,05-Mar-2026 11:43 AM,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-BOUDH,2025_CERWI_121572_180,Online Tender07/EERW Division Boudh 2025-26,Repair to 6 nos E type quarter Block-B at 5th India Reserve Battallion Boudh for the year 2025-26,05-Mar-2026,"INR 428,570",30.0,Madhusmita Dalei,05-Mar-2026 11:53 AM,479.pdf (668.00 KB),He is submitted EMD at the time of agreement,EE,Internal,EE DAO Estimator,Madhusmita Dalei,05-Mar-2026 11:43 AM,techsummary_568432.pdf (667.80 KB),Finance,All bidders are accepted,Madhusmita Dalei,05-Mar-2026 11:37 AM,finance_568432.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,AOC,,,,,,,,,,,,2,3281836,Arabinda Nayak,05-Dec-2025 06:26 PM,Rejected-Technical,Disqualified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,NIT,AOC,,,,,,,,,,,,3,3277516,BALGOPAL PRADHAN,04-Dec-2025 07:47 PM,Rejected-Technical,Disqualified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid e mail ID and phone number are mandatory,AOC,,,,,,,,,,,,4,3276957,Biswanath Patra,05-Dec-2025 02:36 AM,Rejected-Technical,Disqualified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,5,3276600,Braja Mohan Nayak,04-Dec-2025 02:48 AM,Rejected-Technical,Disquilified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,3280419,GOBINDA MEHER,05-Dec-2025 11:26 AM,Rejected-Technical,Disqualified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,3271953,Kamal Bhoi,02-Dec-2025 06:53 PM,Rejected-Technical,Disqulified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,3274342,KIRAN KUMAR MOHANTY,04-Dec-2025 12:57 PM,Rejected-Technical,Disqulified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,3277549,MISIRA KUMAR DHAR,04-Dec-2025 11:31 AM,Rejected-Technical,Disqualified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,3274322,Muna Mahakul,03-Dec-2025 12:37 PM,Rejected-Technical,Disqulified,05-Mar-2026 11:43 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
