Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Tender Stage
Finance,Technical Evaluation Committee,Chittaranjan Mishra,09-Mar-2026 10:55 AM,finance_571399.pdf,BOQ Comparative Chart,1.0,3322565.0,LAXMIPRIYA CHAMPATI,INR,"359,894",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,2025_CERWI_123083_1,TENDERONLINEDNAYAGARH72526,S/R to Constable Barrack building at Itamati for the year 2025-26,EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,09-Mar-2026 11:07 AM,finsummary_571399.pdf (4233.11 KB),EE,Internal,"EE, DAO AND ESTIMATOR",Chittaranjan Mishra,09-Mar-2026 11:02 AM,techsummary_571399.pdf (4233.11 KB),1,3322701,AKSHAY KUMAR MANGARAJ,22-Dec-2025 04:09 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,09-Mar-2026,"INR 359,894",60.0,Chittaranjan Mishra,09-Mar-2026 11:21 AM,1422.pdf (491.00 KB),206P1 of 2025-26,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN.pdfBOQ.xlsvalidPANGSTContractorlicenceetcasDTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NAYAGARH,TENDERONLINEDNAYAGARH72526,2025_CERWI_123083_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, NAYAGARH","4,234",Yes,percentage,1.0%,Nil,Nil,1.0,CORRIGENDUM,Other,,S/R to Constable Barrack building at Itamati for the year 2025-26,S/R to Constable Barrack building at Itamati for the year 2025-26,NA ,NA ,"4,23,354",Civil Works - Buildings,NA ,Tender,90.0,60.0,Nayagarh,752070.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NAYAGARH",No ,No,"2,000",0.0,Nil,Nil,No,12-Dec-2025 09:00 AM,23-Dec-2025 11:00 AM,12-Dec-2025 09:00 AM,22-Dec-2025 05:30 PM,12-Dec-2025 09:00 AM ,22-Dec-2025 05:30 PM ,12-Dec-2025 09:00 AM,22-Dec-2025 05:30 PM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3321001,BASANTI SWAIN,21-Dec-2025 09:30 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3309797,Bidyadhar Barad,16-Dec-2025 10:02 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3313518,BIKRAM PRADHAN,19-Dec-2025 02:05 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3319633,BIPIN BHUJABAL,22-Dec-2025 11:50 AM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3319733,BIPIN KUMAR NAYAK,21-Dec-2025 05:55 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3319042,BISWOMBER SETHI,20-Dec-2025 01:23 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3319570,DEBASIS PAIKERA,22-Dec-2025 01:10 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3321706,ELISA NAYAK,22-Dec-2025 04:36 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3319883,GAYATRI PANDA,22-Dec-2025 12:42 PM,Rejected-AOC,L1,09-Mar-2026 11:21 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
