Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
S/R to Makhanpur Tarang Road for lhe yeat 2025-26,S/R to Makhanpur Tarang Road for lhe yeat 2025-26,Please refer Tender documents. ,NA ,"17,47,414",Civil Works - Roads,NA ,Tender,90.0,30.0,Balasore,756001.0,NA ,NA ,NA ,"O/o the S.E,R.W.Division_II,Balasore",No ,No,"Superintending Engineer,R.W.Division_II,Balasore","O/o the Superintending Engineer,R.W.Division_II,Balasore","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"17,474",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P Cost, EMD Online, RC, PAN, Valid GSTIN, Affidavit, No relation certificate and other as per DTCN",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,E-TCN/BLS-II No.09 of 2025-26,2026_CERWI_124808_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,20-Jan-2026 05:00 PM,31-Jan-2026 11:00 AM,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,20-Jan-2026 05:00 PM ,30-Jan-2026 03:00 PM ,20-Jan-2026 05:00 PM,30-Jan-2026 05:00 PM,AOC,"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,18-Feb-2026 11:57 AM,finsummary_576981.pdf (387.19 KB),"S.E.R.W.Division-II,Balasore",Internal,,Amir Kumar Sethy,13-Feb-2026 05:06 PM,techsummary_576981.pdf (387.19 KB),10-Mar-2026,"INR 1,485,476.29",30.0,Amir Kumar Sethy,10-Mar-2026 12:52 PM,12AOC.pdf (424.00 KB),Awarded through lottery winner vide Agrt.No.191 P1 of 2025-26,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2026_CERWI_124808_12,E-TCN/BLS-II No.09 of 2025-26,S/R to Makhanpur Tarang Road for lhe yeat 2025-26,1.0,3373294.0,BIKRAM KESHARI PATRA,INR,"1,485,476.29",1,3372457,AJIT KUMAR SWAIN,29-Jan-2026 03:31 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,Finance,All are documents are download,Sujata Behera,10-Feb-2026 04:44 PM,finance_576981.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3369742,BASANTA KUMAR SAHOO,28-Jan-2026 12:05 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3373294,BIKRAM KESHARI PATRA,30-Jan-2026 09:00 AM,Accepted-AOC,Awarded through lottery winner vide Agrt.No.191 P1 of 2025-26,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3370863,DEEPAK KUMAR NAYAK,28-Jan-2026 06:03 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3370754,GOBINDA CHANDRA SWAIN,28-Jan-2026 04:37 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3371547,GOURANGA CHANDRA NAYAK,30-Jan-2026 11:34 AM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3366837,HARISH CHANDRA ACHARYA,26-Jan-2026 09:51 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3373915,JADU SINGH,30-Jan-2026 01:24 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3371492,JAJATIKESHARI PRADHAN,30-Jan-2026 03:58 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3373803,JYOTSNARANI KANUNGO,30-Jan-2026 12:42 PM,Rejected-AOC,REJECTED,10-Mar-2026 12:52 PM,,,,,,,AOC
