S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
1.0,3334043.0,Tulsi Ram Agrawal,INR,"36,149,353.903",S Mahali,Internal,,Sukadev Mahali,10-Mar-2026 07:31 PM,finsummary_571418.pdf (97.00 KB),CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_122919_2,BLGR-Online-35/2025-26,Construction of Road from Bargaon Chow to Dangarmunda Road in the district of Bolangir under MMSY-TRIP for the year 2025-26,Technical,5 nos bids opened,Sukadev Mahali,31-Dec-2025 11:24 AM,technical_571418.pdf,Finance,5 nos bids opened,Sunita Kumari Jena,18-Feb-2026 01:29 PM,finance_571418.pdf,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,10-Feb-2026 06:00 PM,18-Feb-2026 11:00 AM,techsummary_571418.pdf (506.55 KB),1,3333311,M/S RAJESH KUMAR PATRA,30-Dec-2025 09:10 AM,Rejected-Finance,L-3,10-Mar-2026 07:31 PM,10-Mar-2026,"INR 36,149,353.903",270.0,Sukadev Mahali,10-Mar-2026 07:34 PM,boqcomparativechart.pdf (97.00 KB),L-1,AOC,15-Dec-2025 03:00 PM,31-Dec-2025 11:00 AM,15-Dec-2025 03:00 PM,30-Dec-2025 05:00 PM,15-Dec-2025 03:00 PM ,29-Dec-2025 05:00 PM ,15-Dec-2025 03:00 PM,30-Dec-2025 05:00 PM,18-Feb-2026 11:00 AM,Construction of Road from Bargaon Chow to Dangarmunda Road in the district of Bolangir under MMSY-TRIP for the year 2025-26,Construction of Road from Bargaon Chow to Dangarmunda Road in the district of Bolangir under MMSY-TRIP for the year 2025-26,Please refer Tender documents. ,NA ,"3,45,57,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-35/2025-26,2025_CERWI_122919_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,45,570",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3333218,M/S RAJ KUMAR AGRAWAL,29-Dec-2025 12:04 PM,Rejected-Finance,L-2,10-Mar-2026 07:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3338487,MS TILAK CHAND AGRAWAL,29-Dec-2025 08:27 PM,Rejected-Finance,L-5,10-Mar-2026 07:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3340610,NITESH KUMAR JAIN,30-Dec-2025 04:48 PM,Rejected-Finance,L-4,10-Mar-2026 07:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3334043,Tulsi Ram Agrawal,29-Dec-2025 07:03 PM,Accepted-AOC,L-1,10-Mar-2026 07:34 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
