Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Subhash Chandra Seth,Internal,"Er.Samar Mahapatra (EE),Er.Susanata Kumar Singh (AEE),Er.Bhagyashree Murmu(JE)",Susanta Kumar Singh,05-Feb-2026 01:01 PM,10-Feb-2026 11:00 AM,techsummary_571374.pdf (2725.54 KB),1.0,3330683.0,SUSANTA KUMAR DEHURY,INR,"24,669,835.81",CE JICA Project BLB Sukinda,2025_JICA_123025_4,ACE JPC-01/2025-26,Construction of field channel work in Rodanga Tail Disty P 2 under Rengali Left Bank Canal System in Irrigation Block B,1,3341646,ABINASH SAHU,01-Jan-2026 11:26 AM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,Technical,87 nos of bidders are admitted,Sanjaya Kumar Marandi,02-Jan-2026 06:52 PM,technical_571374.pdf,Finance,87 nos of bidders are admitted.,Sanjaya Kumar Marandi,10-Feb-2026 06:09 PM,finance_571374.pdf,BOQ Comparative Chart,20-Mar-2026,"INR 24,669,835.81",365.0,Susanta Kumar Singh,23-Mar-2026 04:30 PM,Rodanga2.pdf (630.00 KB),Awarded to Sri Susanta Kumar Dehury,Er. Subhash Chandra Seth,Internal,"Er. Bhagashree Murmu(J.E), Er. Susanta Kumar Singh(AEE),Er.Samar Mahapatra(E.E)",Susanta Kumar Singh,10-Feb-2026 07:54 PM,finsummary_571374.pdf (3588.75 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Tender Cost, EMD, PAN, GSTIN, Contractor Regd. certificate, NRC and Affidavit",1.0,ICICI BANK,"ACE,JICA PROJECT CIRCLE, SUKINDA","ACE,JICA PROJECT CIRCLE, SUKINDA",Construction of field channel work in Rodanga Tail Disty P 2 under Rengali Left Bank Canal System in Irrigation Block B,Construction of field channel work in Rodanga Tail Disty P 2 under Rengali Left Bank Canal System in Irrigation Block B,Please refer Tender documents. ,NA ,"2,90,19,922",Civil Works - Canal,NA ,Tender,120.0,365.0,SUKINDA,755018.0,NA ,NA ,NA ,"ACE,JICA PROJECT CIRCLE, SUKINDA",No ,No,15-Dec-2025 10:00 AM,02-Jan-2026 11:00 AM,15-Dec-2025 10:00 AM,01-Jan-2026 05:30 PM,15-Dec-2025 10:00 AM ,22-Dec-2025 05:30 PM ,15-Dec-2025 10:00 AM,01-Jan-2026 05:30 PM,10-Feb-2026 11:00 AM,CE JICA Project BLB Sukinda,ACE JPC-01/2025-26,2025_JICA_123025_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",Nil,Nil,No,"2,90,200",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,2,3341909,Akash Kumar Nath,01-Jan-2026 04:35 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3328979,AKS MINING INFRACON,01-Jan-2026 03:52 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3328440,AMIT KUMAR MAHAPATRA,26-Dec-2025 08:37 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3341404,ANSHUMAN DASH,31-Dec-2025 04:35 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3341550,BHARAT BHUSAN JENA,31-Dec-2025 09:22 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3341684,BIJAY KUMAR MOHANTY,01-Jan-2026 12:16 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3340856,BIKRAM SATAPATHY,31-Dec-2025 11:00 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3341862,BIKRANTA KUMAR BISWAL,01-Jan-2026 03:28 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3328683,BISWAJIT SAMAL,25-Dec-2025 11:17 PM,Rejected-AOC,Un successful in lottery,23-Mar-2026 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
