Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
21-Nov-2025 09:00 AM,05-Dec-2025 11:00 AM,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,NA ,NA ,21-Nov-2025 11:00 AM,03-Dec-2025 05:00 PM,"8,475",Yes,fixed,,Nil,Nil,Construction of Road from RD Road at Mahulia to Pravat Mishra Res in Ward no. 09 of NAC Daspalla,Construction of Road from RD Road at Mahulia to Pravat Mishra Res in Ward no. 09 of NAC Daspalla,Please refer Tender documents. ,NA ,"8,47,457",Civil Works - Roads,NA ,Tender,180.0,90.0,DASPALLA,752084.0,NA ,NA ,NA ,NAC OFFICE DASPALLA,No ,No,EXECUTIVE OFFICER NAC DASPALLA,NAC OFFICE DASPALLA,Municipal Bodies||Daspalla NAC,NAC-Daspalla/02/2025-26,2025_ORULB_121286_23,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,boq,"4,000",0.0,Nil,Nil,No,AOC,"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,01-Feb-2026 12:00 PM,techsummary_564792.pdf (1644.50 KB),"Chairperson,Daspalla NAC",Internal,,AVINASH MOHANTY,02-Feb-2026 04:36 PM,finsummary_564792.pdf (1644.50 KB),Finance,ok,AVINASH MOHANTY,30-Jan-2026 01:28 PM,,BOQ Comparative Chart,1.0,3274953.0,SARAT KUMAR BEHERA,INR,"850,100",Municipal Bodies||Daspalla NAC,2025_ORULB_121286_23,NAC-Daspalla/02/2025-26,Construction of Road from RD Road at Mahulia to Pravat Mishra Res in Ward no. 09 of NAC Daspalla,1,3269577,AJIT KUMAR JENA,01-Dec-2025 08:42 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,06-Mar-2026,"INR 850,100",90.0,AVINASH MOHANTY,07-Mar-2026 05:29 PM,23aoc.pdf (541.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,All tender Documents.,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3269744,BIRANCHI NARAYAN PATTANAYAK,01-Dec-2025 07:08 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3273502,DEBASMITA MISHRA,03-Dec-2025 01:48 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3268762,DUHKHA BEHERA,02-Dec-2025 07:36 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3273840,DUKHISHYAMA MOHANTY,03-Dec-2025 09:47 AM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3274116,FIROZ KHAN,03-Dec-2025 01:17 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3273203,KABIR KAHANR,03-Dec-2025 12:33 AM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3273685,MAHABIR PRASAD DASH,03-Dec-2025 01:20 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3273836,MAKABULU KHAN,03-Dec-2025 02:09 PM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3273430,PRAKASH MOHAPATRA,03-Dec-2025 02:41 AM,Rejected-AOC,lotery,07-Mar-2026 05:29 PM,,,,,,,AOC
