Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
Jogindra Ratha,Internal,,JOGINDRA RATHA,06-Jan-2026 10:02 PM,07-Jan-2026 09:00 AM,techsummary_557558.pdf (1472.25 KB),Finance,Accepted,JOGINDRA RATHA,05-Mar-2026 03:47 PM,finance_557558.pdf,BOQ Comparative Chart,1,3179045,BHAVANI SHANKAR SAHU,03-Nov-2025 09:25 PM,Accepted-AOC,L1,12-Mar-2026 01:41 PM,12-Mar-2026,"INR 2,211,077",90.0,JOGINDRA RATHA,12-Mar-2026 01:41 PM,Arjunbadia_II.pdf (365.00 KB),1.0,3179045.0,BHAVANI SHANKAR SAHU,INR,"2,211,077",Technical,Accepted,JOGINDRA RATHA,06-Jan-2026 01:26 PM,technical_557558.pdf,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,2025_OLIC_119933_13,BID ID NO. 5480 (OLIC/2025-26) DATED 08.10.2025,Installation and energisation of Arjunbadia II TW LIP under Badasahi Block in Mayurbhanj District,Jogindra Ratha,Internal,,JOGINDRA RATHA,12-Mar-2026 11:49 AM,finsummary_557558.pdf (365.37 KB),AOC,"EE, M.L.I Division, Baripada","EE, M.L.I Division, Baripada, Infront of Stadium near Chhou Padia, Bhonjpur, Baripada, Mayurbhanj 757002 Odisha","18,738",Yes,percentage,1.0%,Nil,Nil,24-Oct-2025 11:00 AM,06-Nov-2025 11:00 AM,24-Oct-2025 11:00 AM,04-Nov-2025 05:00 PM,24-Oct-2025 11:00 AM ,03-Nov-2025 05:00 PM ,24-Oct-2025 11:00 AM,04-Nov-2025 05:00 PM,07-Jan-2026 09:00 AM,Orissa Lift Irrigation Corporation||LI BALASORE||LI Division Baripada,BID ID NO. 5480 (OLIC/2025-26) DATED 08.10.2025,2025_OLIC_119933_13,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Installation and energisation of Arjunbadia II TW LIP under Badasahi Block in Mayurbhanj District,Installation and energisation of Arjunbadia II TW LIP under Badasahi Block in Mayurbhanj District,Please refer Tender documents. ,NA ,"18,73,794",Civil Works - Lift Irrigation Schemes,NA ,Tender,365.0,90.0,Baripada,757002.0,NA ,NA ,NA ,"EE, M.L.I Division, Baripada",No ,No,"7,080",0.0,Nil,Nil,No,1,ICICI BANK,1,Fee/PreQual/Technical,.pdf,TP cost EMD GST PAN Civil and HT License Joint Venture Experience RIG documents as per DTCN,AOC
,,,,,,,,,,,,,2,3179580,SANJAY KUMAR ROUT,04-Nov-2025 11:01 AM,Rejected-AOC,L2,12-Mar-2026 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,2,Finance,.xls,BOQ,AOC
