S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"Periodical Renewal Work of 5 Years Post DLP PMGSY Road A. PWD Road to Mankadamundi, OR 19 561 and B. L108 PS Road to Naragam OR19NBCC62 PM KPT A1 2025 26 in the District of Koraput","Periodical Renewal Work of 5 Years Post DLP PMGSY Road A. PWD Road to Mankadamundi, OR 19 561 and B. L108 PS Road to Naragam OR19NBCC62 PM KPT A1 2025 26 in the District of Koraput",NA ,NA ,"1,19,83,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Koraput,764001.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,05-Jan-2026 12:00 PM,17-Jan-2026 11:00 AM,05-Jan-2026 12:00 PM,16-Jan-2026 05:00 PM,05-Jan-2026 12:00 PM ,15-Jan-2026 02:00 PM ,05-Jan-2026 12:00 PM,16-Jan-2026 05:00 PM,11-Feb-2026 11:00 AM,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD-ONLINE-39/2025-26,2026_CERWI_124185_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"1,20,000",Yes,fixed,,Nil,Nil,Chief Construction Engineer,"Rural Works Circle, Sunabeda, At-Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput",1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate","10,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-SUNABEDA,2026_CERWI_124185_1,CCERWCSBD-ONLINE-39/2025-26,"Periodical Renewal Work of 5 Years Post DLP PMGSY Road A. PWD Road to Mankadamundi, OR 19 561 and B. L108 PS Road to Naragam OR19NBCC62 PM KPT A1 2025 26 in the District of Koraput",Technical,KPTA1,Banjuram Hembram,07-Feb-2026 01:15 PM,technical_574455.pdf,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Award of contract to Sri Bharat Mirgan, B Class (SC) Contractor through transparency lottery system.",Banjuram Hembram,06-Mar-2026 06:07 PM,finsummary_574455.pdf (980.46 KB),1.0,3357642.0,Bharat Mirgan,INR,"10,186,739.06",1,3355120,Ankit Kumar Agrawal,15-Jan-2026 02:01 PM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,06-Mar-2026,"INR 10,186,739.06",60.0,Banjuram Hembram,06-Mar-2026 06:14 PM,AOCKPTA1.pdf (1835.00 KB),"Award of contract to Sri Bharat Mirgan, B Class (SC) Contractor through transparency lottery system.","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division, Koraput Estimator R.W. Circle Sunabeda and P.A. to CCE",Banjuram Hembram,07-Feb-2026 01:52 PM,11-Feb-2026 11:00 AM,techsummary_574455.pdf (1667.46 KB),Finance,CS,Banjuram Hembram,06-Mar-2026 05:59 PM,finance_574455.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3354118,ASUTOSH PATRA,15-Jan-2026 11:15 AM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3354390,Banoj kumar patra,15-Jan-2026 10:37 AM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3357642,Bharat Mirgan,16-Jan-2026 04:04 PM,Accepted-AOC,"Award of contract to Sri Bharat Mirgan, B Class (SC) Contractor through transparency lottery system.",06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3354294,CHANDAN KUMAR BISOI,14-Jan-2026 07:45 PM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3354199,CHETAN BISOI,14-Jan-2026 07:02 PM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3356784,DEEPAK KUMAR SAHU,16-Jan-2026 07:37 AM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3353823,DURMAN MUDULI (S.T),14-Jan-2026 02:21 PM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3353474,GOURA CHANDRA ACHARYA,14-Jan-2026 12:11 AM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3356915,Jitendra Mohanty,16-Jan-2026 03:21 PM,Rejected-AOC,REJECT,06-Mar-2026 06:14 PM,,,,,,,,,,,,,,,,,,,,,AOC
