Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
29-Dec-2025 10:00 AM,13-Jan-2026 11:00 AM,29-Dec-2025 10:00 AM,12-Jan-2026 05:00 PM,29-Dec-2025 10:00 AM ,12-Jan-2026 01:00 PM ,29-Dec-2025 10:00 AM,12-Jan-2026 05:00 PM,11-Feb-2026 11:00 AM,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP-04/2025-26,2025_STSCD_123901_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Staff Quarter at Kujendri High School under Ramanaguda Block,Construction of Staff Quarter at Kujendri High School under Ramanaguda Block,A AND B ,NA ,"2,69,82,267",Civil Works - Buildings,NA ,Tender,90.0,360.0,Gunupur,765022.0,NA ,NA ,NA ,"O/o Project Administrator, ITDA, Gunupur",No ,No,"O/o Project Administrator, ITDA, Gunupu","O/o Project Administrator, ITDA, Gunupur",1.0,Fee/PreQual/Technical,.pdf,"Papercost, EMD,Contractor license,Affidavit,PAN,GSTIN and other document as per DTCN","2,69,823",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,AOC,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,12-Mar-2026 12:35 PM,finsummary_573517.pdf (1565.71 KB),Technical,technical evaltion,Ajaya Kumar Pradhan,10-Feb-2026 07:40 PM,technical_573517.pdf,ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_123901_2,ITDAGNP-04/2025-26,Construction of Staff Quarter at Kujendri High School under Ramanaguda Block,1.0,3347088.0,santosh kumar sethy,INR,"25,231,117.39",1,3350491,ABHISHEK SAHU,11-Jan-2026 04:51 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,12-Mar-2026,"INR 25,231,117.39",360.0,Ajaya Kumar Pradhan,12-Mar-2026 12:38 PM,583.pdf (490.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",Finance,Technical Evalation,Ajaya Kumar Pradhan,12-Mar-2026 12:27 PM,,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,10-Feb-2026 07:44 PM,11-Feb-2026 11:00 AM,techsummary_573517.pdf (487.95 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3347416,AMITAV PATNAIK,07-Jan-2026 11:19 AM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3351506,BIKASH SENAPATI,12-Jan-2026 02:04 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3351185,Ch Mohan Rao,12-Jan-2026 02:46 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3348483,MANOJ KUMAR CHOUDHURY,08-Jan-2026 04:01 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3351945,NITESH KUMAR JAIN,12-Jan-2026 04:16 PM,Rejected-Technical,Not submitted the required machinery document as per the Tender Notice,10-Feb-2026 07:44 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3351352,PRATAPNENI BHARAT KUMAR,12-Jan-2026 12:19 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3348554,RAKESH KUMAR CHOUDHURY,08-Jan-2026 01:34 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3351971,SAHIL KUMAR RAY,12-Jan-2026 04:28 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3350303,SANJAY KUMAR CHAUDHURY,12-Jan-2026 01:24 PM,Rejected-Finance,Not Sucess in the Lottery Process,12-Mar-2026 12:35 PM,,,,,,,,,,,,,,,,,,,,,AOC
