S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"2,49,653",No,fixed,,Nil,Nil,Transportation of Food Grains from RRC to FPS of Odapada during the year 2025-27,Transportation of Food Grains from RRC to FPS of Odapada during the year 2025-27,Please refer Tender documents. ,NA ,"49,93,055",Handling and Transportation,NA ,Tender,180.0,730.0,Dhenkanal,759001.0,O/O CSO cum DM OSCSC Ltd. Dhenkanal ,O/O CSO cum DM OSCSC Ltd. Dhenkanal ,04-Jul-2025 11:00 AM ,O/O CSO cum DM OSCSC Ltd. Dhenkanal,No ,No,"5,900",0.0,Nil,Nil,No,01-Jul-2025 05:00 PM,16-Jul-2025 11:00 AM,01-Jul-2025 05:00 PM,15-Jul-2025 05:00 PM,01-Jul-2025 05:00 PM ,03-Jul-2025 05:00 PM ,01-Jul-2025 05:00 PM,15-Jul-2025 05:00 PM,30-Jul-2025 11:00 AM,CSO cum DM OSCSC Ltd. Dhenkanal,CSO cum DM OSCSC Ltd. Dhenkanal,1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online, Permit, PAN, GST, Affidavit, Tender Documents and others as per DTCN",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Dhenkanal,1289/DKL/OSCSC/2025-26,2025_OSCSC_114876_3,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,AOC,1,2998309,GOBARDHAN BEHERA,13-Jul-2025 09:24 PM,Accepted-AOC,Awarded,17-Mar-2026 04:26 PM,17-Mar-2026,INR 46.87,730.0,Ram Chandra Tudu,17-Mar-2026 04:26 PM,Summary.pdf (7537.00 KB),Awarded,Finance,opened,Ram Chandra Tudu,30-Jul-2025 11:53 AM,,BOQ Comparative Chart,DM,Internal,"ADM, RTO, CSO, DSWO, DTO, DIO, DLO",Ram Chandra Tudu,25-Jul-2025 12:07 PM,30-Jul-2025 11:00 AM,techsummary_544449.pdf (4471.00 KB),Collector,Internal,"ADM,CSO,RTO,DSWO,DLO,DIO,DTO",Ram Chandra Tudu,17-Mar-2026 04:05 PM,finsummary_544449.pdf (7537.01 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Dhenkanal,2025_OSCSC_114876_3,1289/DKL/OSCSC/2025-26,Transportation of Food Grains from RRC to FPS of Odapada during the year 2025-27,Technical,opened,Ram Chandra Tudu,16-Jul-2025 12:42 PM,,1.0,2998309.0,GOBARDHAN BEHERA,INR,46.87,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC,2,2998400,SOMANATH SAHOO,13-Jul-2025 10:41 PM,Rejected-Finance,Rate in higher Side,17-Mar-2026 04:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
