Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,07-Feb-2026 12:58 PM,techsummary_573896.pdf (4139.45 KB),1.0,3353738.0,SRI ANIL KUMAR MISHRA,INR,"2,331,950",PHEO||PH Circle Bhawanipatna||PH Division Balangir,2025_PHEO_124025_3,ACEPHBGR 16/2025-26,Water supply to 15 nos. school and Anganwadies under Balangir.,1,3356318,AKARSHAN JHA,18-Jan-2026 11:22 AM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,12-Mar-2026,"INR 2,331,950",60.0,Indrajit Sahu,12-Mar-2026 03:50 PM,wo.pdf (1885.00 KB),L1 bidder has responded,Finance,Opening Summary,Indrajit Sahu,21-Jan-2026 12:13 PM,finance_573896.pdf,BOQ Comparative Chart,Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,12-Mar-2026 03:45 PM,finsummary_573896.pdf (1884.64 KB),AOC,Water supply to 15 nos. school and Anganwadies under Balangir.,Water supply to 15 nos. school and Anganwadies under Balangir.,Please refer DTCN ,NA ,"27,43,148",Civil Works - Water Works,NA ,Tender,120.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Additional Chief Engineer, P.H. Division, Balangir",No ,No,31-Dec-2025 04:00 PM,21-Jan-2026 11:00 AM,31-Dec-2025 04:00 PM,20-Jan-2026 05:00 PM,31-Dec-2025 04:00 PM ,12-Jan-2026 05:00 PM ,31-Dec-2025 04:00 PM,20-Jan-2026 05:00 PM,1.0,Date Change,Date,,"Additional Chief Engineer, P.H. Division, Balangir","Additional Chief Engineer, P.H. Division, Balangir",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration certificate, Experience Certificate, etc",PHEO||PH Circle Bhawanipatna||PH Division Balangir,ACEPHBGR 16/2025-26,2025_PHEO_124025_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"27,431",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,3361247,BANAMALI BAG,20-Jan-2026 02:15 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1st corrigendum Cancelled,Other,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,3,3360679,CHINMAYA BISWAL,20-Jan-2026 09:39 AM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3353245,DASHARATHI MATARI,13-Jan-2026 06:32 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3357827,DEBASMITA NAYAK,19-Jan-2026 11:56 AM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3352754,DIGAMBAR SANDH,13-Jan-2026 01:32 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3359429,MAA MANGALA TRADERS,20-Jan-2026 01:01 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3360943,PRASANTA KUMAR NAYAK,20-Jan-2026 12:13 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3355502,SIDDHARTHA KUMAR BABU,20-Jan-2026 12:17 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3343294,SOMANATH BEHERA,03-Jan-2026 01:55 PM,Rejected-Finance,Due to transparent lottery,12-Mar-2026 03:45 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
