Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,000",0.0,Nil,Nil,No,18-Feb-2026 12:00 PM,27-Feb-2026 11:00 AM,18-Feb-2026 12:00 PM,26-Feb-2026 05:00 PM,18-Feb-2026 12:00 PM ,26-Feb-2026 05:00 PM ,18-Feb-2026 12:00 PM,26-Feb-2026 05:00 PM,1.0,ICICI BANK,SR to R.D.Road to Sikadaguda (Road -A) under Papadahandi Block for te year 2025 26.,SR to R.D.Road to Sikadaguda (Road -A) under Papadahandi Block for te year 2025 26.,Please refer tender documents ,NA ,"5,86,050",Civil Works - Roads,NA ,Tender,90.0,15.0,Papadahandi,764071.0,NA ,NA ,NA ,"RURAL WORKS DIVISION-I, NAWARANGPUR",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN Card GSTIN and Affidavit as per DTCN,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,EERWNGP Online 12 2025 26,2026_CERWI_126210_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION-I, NAWARANGPUR","5,861",Yes,percentage,1.0%,Nil,Nil,AOC,20-Mar-2026,"INR 586,050",15.0,Jay Prakash Soren,20-Mar-2026 01:53 PM,wo01.pdf (208.00 KB),1,3412129,AKASH BISSOI,26-Feb-2026 08:57 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,Executive Engineer,Internal,"Estimator,DAO,EE",Jay Prakash Soren,20-Mar-2026 01:38 PM,techsummary_581737.pdf (1094.69 KB),Executive Engineer,Internal,"Estimator, DAO, EE",Jay Prakash Soren,20-Mar-2026 01:44 PM,finsummary_581737.pdf (1094.69 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-NAWARANGAPUR,2026_CERWI_126210_8,EERWNGP Online 12 2025 26,SR to R.D.Road to Sikadaguda (Road -A) under Papadahandi Block for te year 2025 26.,1.0,3407208.0,Ram Keshari Bisoi,INR,"586,050",Finance,Tender opening,Jay Prakash Soren,20-Mar-2026 01:33 PM,finance_581737.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,3411699,AMLAN JYOTI MADALA,26-Feb-2026 03:01 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3407253,ASHISH KUMAR NAYAK,21-Feb-2026 08:30 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3410890,ASHOK MOHANTY,25-Feb-2026 12:21 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3409105,BABITA KUMARI MOHAPATRA,25-Feb-2026 12:29 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3411003,BHAGABAN BEHERA,26-Feb-2026 08:01 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3412012,BHAIRABA PRADHANI,25-Feb-2026 10:04 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3411089,BIKASH KUMAR AGRAWAL,25-Feb-2026 01:47 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3410395,DEBA RANJAN PATRA,24-Feb-2026 08:12 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3408739,GOPALCHEETY PAVANI,23-Feb-2026 05:06 PM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,11,3412137,GOURI PRASAD PATRO,26-Feb-2026 11:41 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,12,3411658,ISRAEL KHAN,26-Feb-2026 11:35 AM,Rejected-AOC,Disqualified in transparent lottery,20-Mar-2026 01:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
