Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.1,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,03-Dec-2025 06:07 PM,04-Dec-2025 10:00 AM,techsummary_557753.pdf (426.72 KB),1.0,Other Corrigendum,Other Corrigendum,03-Dec-2025 05:51 PM,GMP_01.pdf ,1642.77,Technical Opening,1.0,3189497.0,ACP CONSTRUCTION,INR,"97,060,423",ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_119944_1,E-procurement Notice No.50/OCCL/2025-26(on-line),Bid identification No. OCCL-GMP/01/2025-26,1,3189497,ACP CONSTRUCTION,06-Nov-2025 03:30 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,18-Mar-2026 06:06 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,03-Dec-2025 06:00 PM,,Finance,Opened Successfully.,Pratap Chandra Chaudhury,04-Dec-2025 10:43 AM,,BOQ Comparative Chart,22-Jan-2026,"INR 97,060,423",270.0,Sarat Chandra Ghadei,18-Mar-2026 06:05 PM,AOC_ANTEI.pdf (422.00 KB),AOC,MANAGING DIRECTOR OF OCC LTD.,Internal,,Sarat Chandra Ghadei,09-Jan-2026 11:32 AM,finsummary_557753.pdf (2030.66 KB),AOC,1.0,ICICI BANK,"11,42,000",Yes,fixed,,Nil,Nil,23-Oct-2025 03:30 PM,07-Nov-2025 12:00 PM,23-Oct-2025 03:30 PM,06-Nov-2025 05:30 PM,23-Oct-2025 03:30 PM ,30-Oct-2025 03:30 PM ,23-Oct-2025 03:30 PM,06-Nov-2025 05:30 PM,04-Dec-2025 10:00 AM,Bid identification No. OCCL-GMP/01/2025-26,Improvement to service road of 10th distributary of RMC in between RD 4500m to RD 14960m connecting NH 59 near village Antei of Rushikulya Irrigation System.,AS PER DTCN. ,NA ,"11,41,75,300",Civil Works - Others,NA ,Tender,90.0,270.0,"BERHAMPUR IRRIGATION DIVISION, ODISHA",760001.0,NA ,NA ,NA ,"HEAD OFFICE, OCCL",No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.","11,800",Nil,Nil,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.50/OCCL/2025-26(on-line),2025_OCCL_119944_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,2,3187717,B Manoj Kumar Rao,06-Nov-2025 11:14 AM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,3,3189605,CDM CONSTRUCTIONS,06-Nov-2025 03:46 PM,Rejected-Technical,Non-Responsive.,03-Dec-2025 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,4,3184242,G.Gopal Rao Dora,06-Nov-2025 01:59 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTERRY.,09-Jan-2026 11:32 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
