Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_87839_15,"97/SE/RWSS/2022-23, Dt.31.03.2023",Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Dutamunda in Manikera GP under M. Rampur block,1.0,2116704.0,NILANCHAL PRADHAN,INR,"2,902,852",SE RWSS KLD,Internal,AEE ESTR DAO,Ajya Kumar Mishra,09-Sep-2023 11:46 PM,techsummary_434027.pdf (381.54 KB),23-Sep-2023,"INR 3,414,718",270.0,Ajya Kumar Mishra,23-Sep-2023 10:29 AM,3257.pdf (401.00 KB),AOC,Finance,Technical and financial bid opening summary,Ajya Kumar Mishra,09-Sep-2023 10:34 AM,finance_434027.pdf,BOQ Comparative Chart,SE RWSS KLD,Internal,DAO II AEE ESTIMATOR,Ajya Kumar Mishra,23-Sep-2023 10:28 AM,finsummary_434027.pdf (128.75 KB),1,2117178,ADITYA KUMAR PANDA,20-Apr-2023 02:33 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,"34,147",Yes,percentage,1.0%,Nil,Nil,13-Apr-2023 05:00 PM,21-Apr-2023 10:00 AM,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,NA ,NA ,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc","6,000",0.0,Nil,Nil,No,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Dutamunda in Manikera GP under M. Rampur block,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Dutamunda in Manikera GP under M. Rampur block,Please refer to DTCN ,NA ,"34,14,718",Civil Works - Water Works,NA ,Tender,180.0,270.0,Dutamunda,766001.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,1.0,ICICI BANK,Superintending Engineer,Kalahandi RWSS Division Bhawanipatna,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"97/SE/RWSS/2022-23, Dt.31.03.2023",2023_RWSS_87839_15,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2117107,AKASH KUMAR AGRAWAL,20-Apr-2023 01:28 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2116129,ANKIT KUMAR AGRAWAL,20-Apr-2023 01:47 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2117200,DEBENDRA KUMAR SAHU,20-Apr-2023 02:12 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2116204,GOVIND LAL AGRAWAL,20-Apr-2023 01:30 AM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2117746,KAILASH MAHARANA,20-Apr-2023 04:43 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2116704,NILANCHAL PRADHAN,19-Apr-2023 03:05 PM,Accepted-AOC,Awarded as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2117235,PURUSHOTTAM PRADHAN,19-Apr-2023 07:11 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2117123,SATYANARAYAN NAIK,19-Apr-2023 07:40 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2117384,TEJESWAR RANA,20-Apr-2023 05:57 AM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:30 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
