S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,"3,44,204",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer,Kalahandi RWSS Division Bhawanipatna,12-Jan-2023 10:00 AM,03-Feb-2023 10:00 AM,12-Jan-2023 10:00 AM,02-Feb-2023 05:30 PM,NA ,NA ,12-Jan-2023 10:00 AM,02-Feb-2023 05:30 PM,11-Mar-2023 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc","10,000",0.0,Nil,Nil,No,Execution for RPWS to village Telipalas Matia under Dharamgarh block including 05 year OM on Turnkey basis,Execution for RPWS to village Telipalas Matia under Dharamgarh block including 05 year OM on Turnkey basis,Please refer to DTCN ,NA ,"3,44,20,377",Civil Works - Water Works,NA ,Tender,180.0,330.0,Telipalas,766001.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"80/SE/RWSS/2022-23, Dt.03.01.2023",2023_RWSS_85177_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2068218,ABHISEK KUMAR AGRAWAL,02-Feb-2023 05:25 PM,Rejected-Technical,Rejected,11-Mar-2023 03:18 PM,CE RWSS BALANGIR,Internal,SE RWSS KLD EE AEE ESIMATOR BALANGIR CIRCLE DAO KALAHANDI,Ajya Kumar Mishra,11-Mar-2023 03:18 PM,11-Mar-2023 03:30 PM,techsummary_424566.pdf (1132.15 KB),27-Sep-2023,"INR 34,420,377",330.0,Ajya Kumar Mishra,27-Sep-2023 06:34 PM,3285.pdf (431.00 KB),AOC,Finance,Financial Bid Opening Summary,Ajya Kumar Mishra,27-Sep-2023 06:05 PM,finance_424566.pdf,BOQ Comparative Chart,1.0,2068025.0,m/s Anand Kumar Agrawal,INR,"29,260,762",Technical,Technical Bid Opening Summary,Ajya Kumar Mishra,11-Mar-2023 01:25 PM,technical_424566.pdf,CE RWSS BALANGIR,Internal,SE RWSS KLD DAO II KALAHANDI AEE ESTR BALANGIR CIRLCE,Ajya Kumar Mishra,27-Sep-2023 06:21 PM,finsummary_424566.pdf (1133.95 KB),Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_85177_1,"80/SE/RWSS/2022-23, Dt.03.01.2023",Execution for RPWS to village Telipalas Matia under Dharamgarh block including 05 year OM on Turnkey basis,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2068117,Anup kumar agrawal,02-Feb-2023 04:18 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2068294,DHIRENDRA KUMAR JAIN,02-Feb-2023 03:42 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2067533,Haresh Kumar Agrawal,02-Feb-2023 08:54 AM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2068092,MANORAMA SASAMALA,02-Feb-2023 12:28 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2068025,m/s Anand Kumar Agrawal,02-Feb-2023 02:02 PM,Accepted-AOC,Awarded as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2066523,P.C. SWAIN,01-Feb-2023 02:27 PM,Rejected-Technical,Rejected,11-Mar-2023 03:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2062482,Sanjaya Kumar Agrawal,02-Feb-2023 01:57 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2067424,SRI ANNAN KUMAR VERMA,01-Feb-2023 01:46 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2067992,SRI MALAYA KUMAR MUND,02-Feb-2023 04:28 PM,Rejected-AOC,Rejected as per OPWD code,27-Sep-2023 06:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
