S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,Superintending Engineer,Kalahandi RWSS Division Bhawanipatna,Construction of 05.60 mtr outer dia and 14.00 mtr high RCC Intake well and its ancillary work for RPWS to village Madanpur in Madanpur GP under M. Rampur block,Construction of 05.60 mtr outer dia and 14.00 mtr high RCC Intake well and its ancillary work for RPWS to village Madanpur in Madanpur GP under M. Rampur block,Please refer to DTCN ,NA ,"46,56,447",Civil Works - Water Works,NA ,Tender,180.0,270.0,Madanpur,766002.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,"6,000",0.0,Nil,Nil,No,13-Apr-2023 05:00 PM,21-Apr-2023 10:00 AM,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,NA ,NA ,13-Apr-2023 05:00 PM,20-Apr-2023 05:30 PM,"46,564",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"97/SE/RWSS/2022-23, Dt.31.03.2023",2023_RWSS_87839_14,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1.0,2117144.0,SARADA KUMARI RAO,INR,"3,958,446",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_87839_14,"97/SE/RWSS/2022-23, Dt.31.03.2023",Construction of 05.60 mtr outer dia and 14.00 mtr high RCC Intake well and its ancillary work for RPWS to village Madanpur in Madanpur GP under M. Rampur block,SE RWSS KLD,Internal,DAO AEE EST,Ajya Kumar Mishra,09-Sep-2023 11:45 PM,techsummary_434025.pdf (381.54 KB),22-Sep-2023,"INR 4,656,447",270.0,Ajya Kumar Mishra,22-Sep-2023 06:37 PM,3256.pdf (394.00 KB),AOC,SE RWSS KLD,Internal,DAO II AEE ESTIAMTOR,Ajya Kumar Mishra,22-Sep-2023 11:10 AM,finsummary_434025.pdf (128.75 KB),Finance,Technical and financial bid opening summary,Ajya Kumar Mishra,09-Sep-2023 10:41 AM,finance_434025.pdf,BOQ Comparative Chart,1,2114562,ANIL KUMAR KEDIA,18-Apr-2023 12:47 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2116128,ANKIT KUMAR AGRAWAL,20-Apr-2023 01:44 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2117491,Bhakta Charan Bhoi,20-Apr-2023 03:29 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2117212,DEBENDRA KUMAR SAHU,20-Apr-2023 01:59 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2116017,DURGA PRASAD GUPTA,20-Apr-2023 01:22 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2116634,GOPAL PRASAD SAHU,20-Apr-2023 12:50 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2116127,GRISMANTA KUMAR MEHER,20-Apr-2023 09:34 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2117078,Kshira Sagar Kumar,20-Apr-2023 04:09 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2117244,MANISHA AGRAWAL,20-Apr-2023 06:30 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2116253,MOHIT KUMAR AGRAWAL,19-Apr-2023 11:58 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 06:39 PM,AOC
