Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"97/SE/RWSS/2022-23, Dt.31.03.2023",2023_RWSS_87839_21,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,Kalahandi RWSS Division Bhawanipatna,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Sidingpadar in Nunpur GP under M. Rampur block,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Sidingpadar in Nunpur GP under M. Rampur block,Please refer to DTCN ,NA ,"34,14,718",Civil Works - Water Works,NA ,Tender,180.0,270.0,Sidingpadar,766001.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,"34,147",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc","6,000",0.0,Nil,Nil,No,14-Apr-2023 11:30 AM,21-Apr-2023 10:00 AM,14-Apr-2023 11:30 AM,20-Apr-2023 05:30 PM,NA ,NA ,14-Apr-2023 11:30 AM,20-Apr-2023 05:30 PM,1.0,ICICI BANK,AOC,1,2117191,ADITYA KUMAR PANDA,20-Apr-2023 02:41 PM,Accepted-AOC,Awarded as per OPWD code,22-Sep-2023 07:18 PM,22-Sep-2023,"INR 3,414,718",270.0,Ajya Kumar Mishra,22-Sep-2023 07:17 PM,3263.pdf (320.00 KB),AOC,SE RWSS KLD,Internal,DAO II AEE ESTIMATOR KALAHANDI,Ajya Kumar Mishra,22-Sep-2023 07:16 PM,finsummary_434117.pdf (128.75 KB),Finance,Technical and financial bid opening summary,Ajya Kumar Mishra,09-Sep-2023 10:29 AM,finance_434117.pdf,BOQ Comparative Chart,SE RWSS KLD,Internal,DAO AEE ESTR KLD,Ajya Kumar Mishra,09-Sep-2023 11:52 PM,techsummary_434117.pdf (381.54 KB),1.0,2117191.0,ADITYA KUMAR PANDA,INR,"2,902,852",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_87839_21,"97/SE/RWSS/2022-23, Dt.31.03.2023",Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Sidingpadar in Nunpur GP under M. Rampur block,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2,2116165,AKASH AGRAWAL,20-Apr-2023 02:05 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,AOC,3,2117118,AKASH KUMAR AGRAWAL,20-Apr-2023 01:40 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2116138,ANKIT KUMAR AGRAWAL,20-Apr-2023 01:50 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2117496,Bhakta Charan Bhoi,20-Apr-2023 03:34 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2117302,Biswajit Mund,20-Apr-2023 02:29 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2116719,GOVIND LAL AGRAWAL,20-Apr-2023 01:39 AM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2117314,Madan Nayak,19-Apr-2023 09:30 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2116749,NILANCHAL PRADHAN,19-Apr-2023 01:05 PM,Rejected-AOC,Rejected as per OPWD code,22-Sep-2023 07:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
