Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
Parikshita Dash,Internal,SantoshKumarNayakAEEITDARRPAmarNathSubudhiRepreventativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,Apurba Kumar Patra,14-Sep-2023 07:11 PM,techsummary_443182.pdf (205.70 KB),1.0,2185073.0,MADHU PATRA,INR,"2,416,942.99",ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_90442_8,"02/2023-24 of ITDA, Rairangpur",Construction of Dormitories with Bathroom and Toilet at Badagobra Ashram School under Tiring Block.,1,2183255,CHAITANYA SOREN,25-Jul-2023 07:18 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,14-Sep-2023,"INR 2,416,942.99",180.0,Apurba Kumar Patra,14-Sep-2023 07:36 PM,Madhupatra.pdf (187.00 KB),"Madhu Patra C Class SC Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",Finance,"All the documents of the bidder are valid for work SI.8 of Bid Identification No. 02/2023-24 of ITDA, Rairangpur.",PARIKSHITA DASH,06-Sep-2023 11:35 AM,finance_443182.pdf,BOQ Comparative Chart,Parikshita Dash,Internal,SantoshKumarNayakAEEITDARRPAmarNathSubudhiRepreventativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,Apurba Kumar Patra,14-Sep-2023 07:14 PM,finsummary_443182.pdf (205.70 KB),AOC,1.0,ICICI BANK,Construction of Dormitories with Bathroom and Toilet at Badagobra Ashram School under Tiring Block.,Construction of Dormitories with Bathroom and Toilet at Badagobra Ashram School under Tiring Block.,As per tender documents. ,NA ,"28,43,128",Civil Works - Buildings,NA ,Tender,90.0,180.0,Tiring,757053.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,ST and SC Development Deptt||ITDA Rairangpur,"02/2023-24 of ITDA, Rairangpur",2023_STSCD_90442_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, PO/PS-Rairangpur,Dist-Mayurbhanj","6,000",0.0,Nil,Nil,No,07-Jul-2023 10:00 AM,27-Jul-2023 11:00 AM,07-Jul-2023 10:00 AM,26-Jul-2023 05:30 PM,NA ,NA ,07-Jul-2023 10:00 AM,26-Jul-2023 05:30 PM,"28,431",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,2,2184429,FULSAI DAMAN MARANDI,24-Jul-2023 01:07 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,3,2185168,JEETENDRA KUMAR MALLICK,24-Jul-2023 06:35 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2185073,MADHU PATRA,24-Jul-2023 05:18 PM,Accepted-AOC,Lottery Winner L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2186086,Prabhat Ranjan Pattnaik,25-Jul-2023 08:13 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2185527,RAHUL SWAMI,26-Jul-2023 12:23 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2186706,RATIKANTA BASA,26-Jul-2023 03:25 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2185444,RATIKANTA NAYAK,25-Jul-2023 01:13 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2186054,SUNIL KUMAR MOHANTA,25-Jul-2023 06:45 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2183668,TRILOCHAN BARIK,23-Jul-2023 12:40 PM,Rejected-AOC,L1,14-Sep-2023 07:37 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
