Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
"Collector and District Magistrate, Mayurbhanj",Internal,"Project Administrator, ITDA, Baripada / Ass.t Executive Officer (Tech), Zilla Parishad, Mayurbhanj / Special Officer, ITDA, Baripada / Asst. Executive Engineer, ITDA, Baripada / AEs, ITDA, Baripada",LAMBODAR MAJHI,14-Sep-2023 01:26 PM,techsummary_445218.pdf (550.17 KB),ST and SC Development Deptt||ITDA Baripada,2023_STSCD_91180_7,ITDABPD-02/2023-24,Development of Market Infrastructure for sale of Tribal Product at Subandihi Hata in Bhaduasole GP of Rasgovindpur Block,1.0,2197993.0,PANKAJ NARAYAN DEO BABU,INR,"788,840.52",1,2196078,ARDHENDU SHEKHAR BEHERA,09-Aug-2023 10:57 AM,Rejected-AOC,,14-Sep-2023 01:32 PM,14-Sep-2023,"INR 788,840.52",90.0,LAMBODAR MAJHI,14-Sep-2023 01:31 PM,Proceedings.pdf (8048.00 KB),Accepted and Selected through transparent lottery system,Finance,Subject to verification of Original Documents,LAMBODAR MAJHI,14-Sep-2023 01:24 PM,,BOQ Comparative Chart,"Collector and District Magistrate, Mayurbhanj",Internal,"Project Administrator, ITDA, Baripada / Asst Executive Officer (Tech), Zilla Parishad, Mayurbhanj / Special Officer, ITDA, Baripada / Asst. Executive Engineer, ITDA, Baripada / AEs, ITDA, Baripada",LAMBODAR MAJHI,14-Sep-2023 01:29 PM,finsummary_445218.pdf (550.17 KB),AOC,25-Jul-2023 10:00 AM,14-Aug-2023 11:00 AM,25-Jul-2023 10:00 AM,11-Aug-2023 05:30 PM,NA ,NA ,25-Jul-2023 10:00 AM,11-Aug-2023 05:30 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Contractor License, PAN, GST / Affidavit Agreement Regd. Certificate / Online Payment Conf. Etc.,",Development of Market Infrastructure for sale of Tribal Product at Subandihi Hata in Bhaduasole GP of Rasgovindpur Block,Development of Market Infrastructure for sale of Tribal Product at Subandihi Hata in Bhaduasole GP of Rasgovindpur Block,D and C ,NA ,,Civil Works - Others,NA ,Tender,90.0,90.0,BARIPADA,757001.0,NA ,NA ,NA ,ITDA BARIPADA,No ,No,"9,300",Yes,fixed,,Nil,Nil,"4,000",0.0,Nil,Nil,No,ST and SC Development Deptt||ITDA Baripada,ITDABPD-02/2023-24,2023_STSCD_91180_7,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"PROJECT ADMINISTRATOR, ITDA, BARIPADA","MURGABADI, BARIPADA, MAYURBHANJ",AOC
,,,,,,,,,,,,,,,2,2197420,ATANU TAREI,08-Aug-2023 04:51 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2196423,BALMIKI BARIK,08-Aug-2023 06:32 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2188387,Bibhuti Bhusan Das,28-Jul-2023 06:09 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2192248,BIJAN KUMAR NAYAK,03-Aug-2023 06:34 AM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2199882,BISWARANJAN SAHU,11-Aug-2023 03:09 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2198012,DAKTAR TUDU,09-Aug-2023 12:36 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2199811,HARISH CHANDRA MAHALA,11-Aug-2023 02:24 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2195117,MADHUSMITA SAHU,09-Aug-2023 02:16 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2199098,PADMINI BEHERA,10-Aug-2023 03:06 PM,Rejected-AOC,,14-Sep-2023 01:32 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
