S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Division Kendrapara,RWS/09/2023-24,2023_RWSS_89664_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,EXTERNAL ELECTRIFICATION WORK OF PWS TO MUNDILO UNDER DERABISH BLOCK IN KENDRAPARA DISTRICT,EXTERNAL ELECTRIFICATION WORK OF PWS TO MUNDILO UNDER DERABISH BLOCK IN KENDRAPARA DISTRICT,Please refer Tender documents. ,NA ,"7,80,941",Electrical Works,EXTERNAL ELECTRIFICATION WORKS ,Tender,90.0,30.0,KENDRAPARA,754212.0,OFFICE OF THE EE RWSS KENDRAPARA AT ICHHAPUR ,AT ICHHAPUR PO SHREE BALADEVJEW DIST KENDRAPARA ,08-Jun-2023 10:00 AM ,EE RWSS KENDRAPARA,No ,No,EE RWSS KENDRAPARA,AT ICHHAPUR PO SHREE BALADEVJEW DIST KENDRAPARA,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,08-Jun-2023 10:00 AM,19-Jun-2023 11:00 AM,08-Jun-2023 10:00 AM,17-Jun-2023 05:30 PM,08-Jun-2023 10:00 AM ,12-Jun-2023 05:30 PM ,08-Jun-2023 10:00 AM,17-Jun-2023 05:30 PM,"4,000",0.0,Nil,Nil,No,"7,900",Yes,fixed,,Nil,Nil,AOC,Finance,Only 2 bidders have participated in the tender and their bid admitted for taking further course of action,Basanta Kumar Nayak,19-Jun-2023 02:22 PM,,BOQ Comparative Chart,1,2161541,M/S JAY MAA TARINI ELECTRICAL AND CONSTRUCTION,16-Jun-2023 03:52 PM,Rejected-AOC,Rejected,14-Sep-2023 01:10 PM,EE,Internal,"DAO, AEE ESTIMATOR, AE ESTIMATOR",Basanta Kumar Nayak,14-Sep-2023 01:07 PM,techsummary_440354.pdf (805.93 KB),14-Sep-2023,"INR 783,375",30.0,Basanta Kumar Nayak,14-Sep-2023 01:10 PM,mundiloelectwo.pdf (1349.00 KB),L1 bidder got awarded the work with 14.99 percentage less,1.0,2158638.0,Subhadra Electricals and civil construction,INR,"783,375",EE,Internal,"DAO, AEE ESTIMATOR, AE ESTIMATOR",Basanta Kumar Nayak,14-Sep-2023 01:08 PM,finsummary_440354.pdf (805.93 KB),Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Division Kendrapara,2023_RWSS_89664_6,RWS/09/2023-24,EXTERNAL ELECTRIFICATION WORK OF PWS TO MUNDILO UNDER DERABISH BLOCK IN KENDRAPARA DISTRICT,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ (FINANCIAL BID),,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2158638,Subhadra Electricals and civil construction,13-Jun-2023 10:56 PM,Accepted-AOC,L1 bidder got awarded the work,14-Sep-2023 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
