Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Project Administrator, ITDA, Rairangpur","At-Ward No-03, PO/PS-Rairangpur, Dist-Mayurbhanj",Construction of Bridge over Nesa Nallah from Kulgi to Indkholi in Soso G.P. under Bahalda Block.,Construction of Bridge over Nesa Nallah from Kulgi to Indkholi in Soso G.P. under Bahalda Block.,As per tender documents. ,NA ,"55,55,000",Civil Works - Bridges,NA ,Tender,90.0,270.0,Bahalda,757046.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,ST and SC Development Deptt||ITDA Rairangpur,"02/2023-24 of ITDA, Rairangpur",2023_STSCD_90442_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"55,550",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,07-Jul-2023 10:00 AM,27-Jul-2023 11:00 AM,07-Jul-2023 10:00 AM,26-Jul-2023 05:30 PM,NA ,NA ,07-Jul-2023 10:00 AM,26-Jul-2023 05:30 PM,"10,000",0.0,Nil,Nil,No,AOC,Parikshita Dash,Internal,SantoshKumarNayakAEEITDARRPAmarNathSubudhiRepreventativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,Apurba Kumar Patra,14-Sep-2023 06:59 PM,finsummary_443179.pdf (205.70 KB),Finance,"All the documents of the bidder are valid for work SI.6 of Bid Identification No. 02/2023-24 of ITDA, Rairangpur.",PARIKSHITA DASH,06-Sep-2023 11:29 AM,finance_443179.pdf,BOQ Comparative Chart,14-Sep-2023,"INR 4,722,305.1",270.0,Apurba Kumar Patra,14-Sep-2023 07:46 PM,RahulKumarYadav.pdf (180.00 KB),"Rahul Kumar Yadav B Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1,2186310,ABHISEK KUMAR MOHANTY,26-Jul-2023 11:13 AM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,ST and SC Development Deptt||ITDA Rairangpur,2023_STSCD_90442_6,"02/2023-24 of ITDA, Rairangpur",Construction of Bridge over Nesa Nallah from Kulgi to Indkholi in Soso G.P. under Bahalda Block.,1.0,2185194.0,RAHUL KUMAR YADAV,INR,"4,722,305.1",Parikshita Dash,Internal,SantoshKumarNayakAEEITDARRPAmarNathSubudhiRepreventativeSEPWDRBRRPApurbaKumarPatraAERameswarSethyAEManojKumarHotaICSectionOfficerSureshKumarMajhiSRA,Apurba Kumar Patra,14-Sep-2023 06:56 PM,techsummary_443179.pdf (205.70 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2185379,BHABENDU KUMAR MOHANTA,24-Jul-2023 10:07 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2186028,BIRENDRA BEHERA,25-Jul-2023 05:58 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2183265,CHAITANYA SOREN,25-Jul-2023 07:34 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2184410,FULSAI DAMAN MARANDI,24-Jul-2023 12:56 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2185448,JAJATI KESHARI ROUT,25-Jul-2023 12:54 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2184974,KISHORE KUMAR RAJAK,24-Jul-2023 04:31 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2186803,PRASANTA BEHERA,26-Jul-2023 05:16 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2185194,RAHUL KUMAR YADAV,24-Jul-2023 07:02 PM,Accepted-AOC,Lottery Winner L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2184682,RAJIB LOCHAN ROUT,24-Jul-2023 02:54 PM,Rejected-AOC,L1,14-Sep-2023 07:47 PM,,,,,,,,,,,,,,,,AOC
