Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Er. R.Sial, ACE",External,"Er. S.C.De, SE, Er. P.N.Behera, AEE Er. C.Sethi, AE and Sri J.Guha, DAO",Paramananda Behera,16-Sep-2023 06:15 PM,finsummary_444535.pdf (645.40 KB),Technical,"Out of 11 bids, 2 bids are not qualified in technical evaluation",Paramananda Behera,01-Sep-2023 06:32 PM,technical_444535.pdf,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Balasore,2023_RWSS_90876_1,TCN NO 14 DT 07.07.2023,EXECUTION OF RETROFITTING 40 LPCD RPWS SCHEME TO BIRUAN OF REMUNA BLOCK IN BALASORE DISTRICT,Finance,9 Nos financial bids are received for evaluation.,Paramananda Behera,02-Sep-2023 11:31 AM,finance_444535.pdf,BOQ Comparative Chart,29-Sep-2023,"INR 12,440,987",330.0,Samir Chandra De,29-Sep-2023 06:14 PM,BiruhanWO.pdf (606.00 KB),AoC,1.0,2183013.0,MS AYUSH ENGINEERING AND COMPANY,INR,"12,440,987",1,2189782,ARJUN TUDU,30-Jul-2023 03:28 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,ER R Sial ACE,External,"Er S C De, SE, Er P N Behera, AE Estr, Er C Sethi, AE and Sri J K Guha, DAO",Paramananda Behera,01-Sep-2023 06:47 PM,02-Sep-2023 09:00 AM,techsummary_444535.pdf (781.24 KB),AOC,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Balasore,TCN NO 14 DT 07.07.2023,2023_RWSS_90876_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,SE RWSS DIVISION BALASORE,O/O SE RWSS DIVISION BALASORE,EXECUTION OF RETROFITTING 40 LPCD RPWS SCHEME TO BIRUAN OF REMUNA BLOCK IN BALASORE DISTRICT,RPWS WITH RCC ESR,Please refer Tender documents. ,NA ,"1,46,34,733",Civil Works - Water Works,NA ,Tender,180.0,330.0,BALASORE,756001.0,O/O SE RWSS DIVISION BALASORE ,O/O SE RWSS DIVISION BALASORE ,24-Jul-2023 11:00 AM ,O/O SE RWSS DIVISION BALASORE,No ,No,20-Jul-2023 03:00 PM,03-Aug-2023 11:00 AM,20-Jul-2023 03:00 PM,02-Aug-2023 05:00 PM,20-Jul-2023 03:00 PM ,31-Jul-2023 03:00 PM ,20-Jul-2023 03:00 PM,02-Aug-2023 05:00 PM,02-Sep-2023 09:00 AM,1.0,Fee/PreQual/Technical,.pdf,"BID COST, BID SECURITY, GST, PAN, CRC AND AFFIDAVIT","1,46,347",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2191423,BENUDHARA SETHI,31-Jul-2023 08:28 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2193047,GYANAJIT PATTANAIK,02-Aug-2023 03:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2023 06:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2186789,JANAKI MALIK,26-Jul-2023 05:45 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2186601,KAMALAKANTA DAS,02-Aug-2023 12:09 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2192962,KISHORE KUMAR BEHERA,02-Aug-2023 04:25 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2183013,MS AYUSH ENGINEERING AND COMPANY,02-Aug-2023 11:19 AM,Accepted-AOC,Awarded,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2191741,SAMRAT SWAIN,01-Aug-2023 12:01 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2192768,SANJIB KUMAR JENA,02-Aug-2023 03:30 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2192284,SRI SATHYA SAI INTERNATIONAL LIMITED,02-Aug-2023 04:42 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Sep-2023 06:32 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2190901,SUSHREE SASMITA PRADHAN,02-Aug-2023 12:47 PM,Rejected-AOC,Cancelled,29-Sep-2023 06:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
