Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,2023_RWSS_87839_8,"97/SE/RWSS/2022-23, Dt.31.03.2023",Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Budhikhaman in Gochhadengen GP under M. Rampur block,SE RWSS KLD,Internal,DAO II AEE ESTR,Ajya Kumar Mishra,23-Sep-2023 10:50 AM,finsummary_433985.pdf (128.75 KB),1.0,2116659.0,NILANCHAL PRADHAN,INR,"2,902,852",23-Sep-2023,"INR 3,414,718",270.0,Ajya Kumar Mishra,23-Sep-2023 10:52 AM,3250.pdf (324.00 KB),AOC,SE RWSS KLD,Internal,DAO AEE ESTIMATOR,Ajya Kumar Mishra,09-Sep-2023 11:39 PM,techsummary_433985.pdf (381.54 KB),1,2117173,ADITYA KUMAR PANDA,20-Apr-2023 02:28 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,Finance,Technical Bid Opening Summary,Ajya Kumar Mishra,02-Sep-2023 01:12 PM,finance_433985.pdf,BOQ Comparative Chart,AOC,"34,147",Yes,percentage,1.0%,Nil,Nil,Superintending Engieer,Kalahandi RWSS Division Bhawanipatna,13-Apr-2023 12:00 PM,21-Apr-2023 10:00 AM,13-Apr-2023 12:00 PM,20-Apr-2023 05:30 PM,NA ,NA ,13-Apr-2023 12:00 PM,20-Apr-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Papercost,Affidavit,EMD,PAN,GST,Contractor Registration certificate,EPF,Experience certificate etc","6,000",0.0,Nil,Nil,No,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Budhikhaman in Gochhadengen GP under M. Rampur block,Construction of 06.60 mtr outer dia and 15.00 mtr high Stone Masonary RCC Percolation well and its ancillary work for RPWS to village Budhikhaman in Gochhadengen GP under M. Rampur block,Please refer to DTCN ,NA ,"34,14,718",Civil Works - Water Works,NA ,Tender,180.0,270.0,Budhikhaman,766001.0,NA ,NA ,NA ,Kalahandi RWSS Division Bhawanipatna,No ,No,1.0,ICICI BANK,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Kalahandi,"97/SE/RWSS/2022-23, Dt.31.03.2023",2023_RWSS_87839_8,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2116155,AKASH AGRAWAL,20-Apr-2023 02:00 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Other document as per dtcn,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2117100,AKASH KUMAR AGRAWAL,20-Apr-2023 01:19 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2114556,ANIL KUMAR KEDIA,18-Apr-2023 12:16 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2116115,ANKIT KUMAR AGRAWAL,20-Apr-2023 01:38 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2117486,Bhakta Charan Bhoi,20-Apr-2023 02:40 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2117290,Biswajit Mund,20-Apr-2023 02:16 AM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2116235,MOHIT KUMAR AGRAWAL,19-Apr-2023 11:51 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2116659,NILANCHAL PRADHAN,19-Apr-2023 02:52 PM,Accepted-AOC,Awarded as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2117975,RADHAKANTA SETH,20-Apr-2023 02:38 PM,Rejected-AOC,Rejected as per OPWD code,23-Sep-2023 10:53 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
