Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Rourkela Municipal Corporation,2023_RMC_92721_10,MC/RMC/20/2023,"Construction of Pavered road using Paver block from D sector road to Katrina house, W.No 40, Rourkela",Commissioner,External,"Executive Engineer, Audit Officer, Dy. Commissioner",Manas Biswal,30-Sep-2023 12:48 PM,finsummary_450370.pdf (1951.74 KB),30-Sep-2023,"INR 263,438.5",30.0,Manas Biswal,30-Sep-2023 01:13 PM,MC20.pdf (1952.00 KB),Awarded to Srikanta Rout,1.0,2221291.0,SRIKANTA ROUT,INR,"263,438.5",Finance,Opened,Manas Biswal,30-Sep-2023 11:49 AM,finance_450370.pdf,BOQ Comparative Chart,Commissioner,External,"Executive Engineer, Audit Officer, Dy. Commissioner",Manas Biswal,30-Sep-2023 12:25 PM,techsummary_450370.pdf (1951.74 KB),1,2219413,GAYADHAR SWAIN,27-Aug-2023 12:57 PM,Rejected-Technical,By The Tender Committee,30-Sep-2023 12:25 PM,AOC,1,ICICI BANK,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","2,000",Nil,Nil,No,19-Aug-2023 06:55 PM,29-Aug-2023 11:00 AM,19-Aug-2023 06:55 PM,28-Aug-2023 05:00 PM,NA ,NA ,19-Aug-2023 06:55 PM,28-Aug-2023 05:00 PM,Rourkela Municipal Corporation,MC/RMC/20/2023,2023_RMC_92721_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, Paper Cost and other documents as per DTCN","Construction of Pavered road using Paver block from D sector road to Katrina house, W.No 40, Rourkela",Works,Please refer Tender documents. ,NA ,"3,10,000",Civil Works - Others,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"3,100",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2221291,SRIKANTA ROUT,28-Aug-2023 01:34 PM,Accepted-AOC,By The Tender Committee,30-Sep-2023 01:14 PM,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
