Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Rural Water Supply and Sanitation,EIC/RWSS/55/22-23,2023_RWSS_85763_1,Yes,National Competitive Bid,Lump-sum,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,DTCN,Execution of RPWS to Multi villages 6 nos in Kirikuti GP under Daringibadi Block of Kandhamal District including 5 years Operation and Maintenance,Execution of RPWS to Multi villages 6 nos in Kirikuti GP under Daringibadi Block of Kandhamal District including 5 years Operation and Maintenance,Please refer Tender documents. ,NA ,"12,31,28,828",Civil Works - Water Works,NA ,Tender,180.0,540.0,Kandhamal,751001.0,EIC RWSS ODISHA BHUBANESWAR ,EIC RWSS ODISHA BHUBANESWAR ,09-Feb-2023 11:00 AM ,EIC RWSS ODISHA BHUBANESWAR,No ,No,EIC RWSS ODISHA BHUBANESWAR,EIC RWSS ODISHA BHUBANESWAR,"12,31,288",Yes,fixed,,Nil,Nil,1.0,CORRIGENDUM2,Technical Bid,,1,ICICI BANK,"10,000",0.0,Nil,Nil,No,02-Feb-2023 05:00 PM,28-Feb-2023 11:00 AM,02-Feb-2023 05:00 PM,24-Feb-2023 05:00 PM,02-Feb-2023 05:00 PM ,08-Feb-2023 05:00 PM ,02-Feb-2023 05:00 PM,24-Feb-2023 05:00 PM,03-Mar-2023 03:00 PM,AOC,EIC RWSS Bhubaneswar,Internal,EIC-Cum-Chief Engineer CE-Ii ACEo/o EIC SE(D) o/o EIC SE(TP) O/o EIC AO O/o EIC,Pramod Kumar Nayak,03-Mar-2023 11:53 AM,03-Mar-2023 03:00 PM,techsummary_427083.pdf (618.04 KB),1,2089205,isar engineers pvt ltd,24-Feb-2023 04:47 PM,Rejected-Technical,Reject,03-Mar-2023 11:53 AM,05-Sep-2023,"INR 119,804,349",540.0,Pramod Kumar Nayak,05-Sep-2023 01:40 PM,55WO.pdf (3161.00 KB),L1,Finance,01 bid opened.,Pramod Kumar Nayak,03-Mar-2023 03:27 PM,,BOQ Comparative Chart,1.0,2085844.0,"SAI VAISHNAVI ENTERPRISES, PROP. RAJ KUMAR PATRA",INR,"119,804,349",Rural Water Supply and Sanitation,2023_RWSS_85763_1,EIC/RWSS/55/22-23,Execution of RPWS to Multi villages 6 nos in Kirikuti GP under Daringibadi Block of Kandhamal District including 5 years Operation and Maintenance,Secretery,Internal,Director DWS EIC RWSS CE-I CE-II Finance Law,Pramod Kumar Nayak,05-Sep-2023 01:38 PM,finsummary_427083.pdf (767.27 KB),Technical,02 bids opened.,Pramod Kumar Nayak,28-Feb-2023 12:19 PM,,AOC
,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,2,2085844,"SAI VAISHNAVI ENTERPRISES, PROP. RAJ KUMAR PATRA",23-Feb-2023 11:56 AM,Accepted-AOC,L1,05-Sep-2023 01:41 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
