Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,09/OPHWC/2023-24,2023_OSPHW_89239_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Cluster of 1.Const. of JCO mess at 9th SIR Bn., Kalahandi and 2.Const. of Sentry Post at 9th SIR Bn., Kalahandi .",Building Work,Please refer Tender documents  ,NA ,"1,12,91,579",Civil Works - Buildings,NA ,Tender,90.0,270.0,Kalahandi,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"1,12,900",Yes,fixed,,Nil,Nil,24-May-2023 09:00 AM,08-Jun-2023 11:00 AM,24-May-2023 09:00 AM,07-Jun-2023 05:00 PM,24-May-2023 09:00 AM ,29-May-2023 05:00 PM ,24-May-2023 09:00 AM,07-Jun-2023 05:00 PM,21-Jun-2023 11:00 AM,"11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_89239_13,09/OPHWC/2023-24,"Cluster of 1.Const. of JCO mess at 9th SIR Bn., Kalahandi and 2.Const. of Sentry Post at 9th SIR Bn., Kalahandi .",Technical,SINGLE BIDDER HAS PARTICIPATED,Bikram Keshari Malla,08-Jun-2023 01:56 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,12-Jul-2023 11:47 AM,finsummary_438890.pdf (727.30 KB),1.0,2151963.0,GIRISH CHANDRA BEHERA,INR,"10,728,129",12-Jul-2023,"INR 10,728,129",270.0,Bikram Keshari Malla,12-Jul-2023 11:49 AM,WORKING.pdf (392.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 10.07.2023,1.0,2151963.0,GIRISH CHANDRA BEHERA,07-Jun-2023 04:11 PM,Accepted-AOC,QUALIFIED BIDDER,12-Jul-2023 11:49 AM,AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,20-Jun-2023 07:38 PM,21-Jun-2023 11:00 AM,techsummary_438890.pdf (103.20 KB),Finance,FINANCE BID OPENED,Bikram Keshari Malla,21-Jun-2023 12:13 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
