S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate","10,900",Yes,fixed,,Nil,Nil,(18) IMPROVEMENT TO DHAULI SUB-MINOR FROM RD.00KM TO TAIL INCLUDING REPAIR OF OUTLET,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,AOC,1,2094398,BHARATI MOHAPATRA,02-Mar-2023 05:11 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 02:24 PM,14-Jul-2023,"INR 925,203",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 05:32 PM,18.pdf (342.00 KB),Contract Awarded,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 02:16 PM,techsummary_429096.pdf (339.12 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_18,e-Procurement Notice No.7 / 2022-23,(18) IMPROVEMENT TO DHAULI SUB-MINOR FROM RD.00KM TO TAIL INCLUDING REPAIR OF OUTLET,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO, Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,28-Apr-2023 02:24 PM,finsummary_429096.pdf (353.03 KB),Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:13 PM,finance_429096.pdf,BOQ Comparative Chart,1.0,2095373.0,JYOTSNARANI KANUNGO,INR,"925,203",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2094812,BISHNU CHARAN MOHAPATRA,03-Mar-2023 05:05 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2095373,JYOTSNARANI KANUNGO,04-Mar-2023 04:18 PM,Accepted-AOC,Won the lottery,14-Jul-2023 05:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2095391,SASHIKANTA SAHOO,04-Mar-2023 04:24 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2094905,SUSANTA KUMAR UPADHYAYA,03-Mar-2023 08:42 PM,Rejected-Finance,Did not won the lottery.,28-Apr-2023 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
