Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Collector,Internal,"PA, ITDA, AEE, SE,MI, APD, Zilla Parishad",BANAMALI NANDA,06-May-2023 08:18 PM,09-May-2023 10:00 AM,techsummary_432260.pdf (295.52 KB),ST and SC Development Deptt||ITDA Kaptipada,2023_STSCD_87267_1,ITDAKPD-02/2022-23,Const. Of Box Cell Bridge over Sanja River on Anandapur - Chandrapur Road near Village Anandapur in Karkachia GP under Khunta Block,1.0,2111848.0,TAPAS KUMAR BEHERA,INR,"6,461,716",Finance,Qualified,BANAMALI NANDA,21-Jul-2023 09:32 PM,finance_432260.pdf,BOQ Comparative Chart,1,2113634,AJAY KUMAR SETHI,13-Apr-2023 01:19 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,Technical,Tender Opened,BANAMALI NANDA,06-May-2023 08:10 PM,technical_432260.pdf,21-Jul-2023,"INR 6,461,716",270.0,DEBADATTA PANDA,21-Jul-2023 09:52 PM,Lottary.pdf (744.00 KB),AOC,Collector,Internal,"PA, AEE, APD",BANAMALI NANDA,21-Jul-2023 09:41 PM,finsummary_432260.pdf (743.98 KB),AOC,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor License, PAN, GSTIN etc.",ST and SC Development Deptt||ITDA Kaptipada,ITDAKPD-02/2022-23,2023_STSCD_87267_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,29-Mar-2023 10:00 AM,17-Apr-2023 11:00 AM,29-Mar-2023 10:00 AM,13-Apr-2023 05:00 PM,NA ,NA ,29-Mar-2023 10:00 AM,13-Apr-2023 05:00 PM,09-May-2023 10:00 AM,"76,100",Yes,fixed,,Nil,Nil,"PA, ITDA, Kaptipada","ITDA, Kaptipada, Udala",Const. Of Box Cell Bridge over Sanja River on Anandapur - Chandrapur Road near Village Anandapur in Karkachia GP under Khunta Block,Const. Of Box Cell Bridge over Sanja River on Anandapur - Chandrapur Road near Village Anandapur in Karkachia GP under Khunta Block,As per DTCN ,NA ,"76,01,124",Civil Works - Bridges,NA ,Tender,90.0,270.0,Khunta,757041.0,NA ,NA ,NA ,"ITDA, Kaptipada, Udala",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2112431,AJIT KUMAR BEHERA,11-Apr-2023 06:13 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2113429,AJIT KUMAR MALLICK,13-Apr-2023 09:45 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2113413,ANKIT BARIK,13-Apr-2023 09:20 AM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2113647,ASHISH MOHAPATRA,13-Apr-2023 01:32 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2111267,BHABANI SANKAR PATI,12-Apr-2023 03:13 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2113153,BHABANI SHANKAR SETHI,12-Apr-2023 06:46 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2113000,BISHWARANJAN SALANGI,12-Apr-2023 01:54 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2112581,BISWARANJAN NAYAK,11-Apr-2023 09:51 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2113677,CHANDAN KUMAR JENA,13-Apr-2023 01:54 PM,Rejected-AOC,Not Qualify in Lottery,21-Jul-2023 09:54 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
