S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,"11,800",Nil,Nil,No,"Supplying and Installation of Multijet Mechanical Water Meters under PH Division, Bhawanipatna and PH Division, Koraput including replacement of defective water meters within 5 years of Installation (Package-II)","Supplying and Installation of Multijet Mechanical Water Meters under PH Division, Bhawanipatna and PH Division, Koraput including replacement of defective water meters within 5 years of Installation (Package-II)",Please refer Tender documents. ,NA ,"13,90,55,000",Civil Works - Water Works,NA ,Tender,120.0,365.0,Bhawanipatna,766001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN, GST, Affidavits as per DTCN",18-May-2023 11:00 AM,02-Jun-2023 12:30 PM,18-May-2023 11:00 AM,01-Jun-2023 05:00 PM,NA ,NA ,18-May-2023 11:00 AM,01-Jun-2023 05:00 PM,06-Jun-2023 05:10 PM,Chief Executive Officer,"The Chief Executive Officer, WATCO Ground Floor, Unnati Bhawan, Satyanagar, Bhubaneswar-751007, Odisha, India (0674) 2391444",WATCO Bhubaneswar,WATCO (W)-11(2)/ 2023-24 Dt.12.05.2022,2023_WATCO_89062_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"13,91,000",Yes,fixed,,Nil,Nil,AOC,WATCO Bhubaneswar,2023_WATCO_89062_1,WATCO (W)-11(2)/ 2023-24 Dt.12.05.2022,"Supplying and Installation of Multijet Mechanical Water Meters under PH Division, Bhawanipatna and PH Division, Koraput including replacement of defective water meters within 5 years of Installation (Package-II)",1.0,2144644.0,Enzen Global Solutions Pvt Ltd,INR,"135,731,878",Chief Executive Officer,Internal,,Rajendra Nath Nayak,06-Jun-2023 04:26 PM,06-Jun-2023 05:10 PM,techsummary_438131.pdf (1494.96 KB),Chief Executive Officer,Internal,,Rajendra Nath Nayak,19-Jul-2023 10:39 AM,finsummary_438131.pdf (742.65 KB),19-Jul-2023,"INR 135,731,878",365.0,Rajendra Nath Nayak,19-Jul-2023 10:40 AM,AOC.pdf (513.00 KB),Technical,Four no technical bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,02-Jun-2023 12:45 PM,,1,2151389,BALAJI SOLAR SYSTEMS,01-Jun-2023 04:06 PM,Rejected-Technical,Technically disqualified,06-Jun-2023 04:26 PM,Finance,Two no financial bids are received online and the bid is admitted subject to detail scrutiny after downloading the bid documents and after which the bid will be finally determined as valid or invalid,Rajendra Nath Nayak,06-Jun-2023 05:14 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2144644,Enzen Global Solutions Pvt Ltd,01-Jun-2023 01:24 PM,Accepted-AOC,Lowest bidder,19-Jul-2023 10:40 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2151726,M/s. BALAJI CONSTRUCTION COMPANY,01-Jun-2023 03:27 PM,Rejected-Technical,Technically disqualified,06-Jun-2023 04:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2150857,ORISSA BIODIESEL JATROPHA PRIVATE LIMITED,01-Jun-2023 04:13 PM,Rejected-AOC,Not a lowest bidder,19-Jul-2023 10:40 AM,,,,,,,AOC
