S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,"1,92,071",No,fixed,,Nil,Nil,1.0,FEE CORRIGENDUM,Fee,,28-Apr-2023 10:00 AM,26-May-2023 10:00 AM,28-Apr-2023 10:00 AM,22-May-2023 05:00 PM,28-Apr-2023 10:00 AM ,29-Apr-2023 09:30 AM ,28-Apr-2023 10:00 AM,22-May-2023 05:00 PM,02-Jun-2023 11:00 AM,L-II TENDER FOR BASUDEVPUR MPL AND 8 GP CNB FOR THE YEAR 2023 25,TRANSPORTATION OF FOOD GRAIN FROM RRC CUM DSC TO RETAIL POINTS,TRANSPORTATION OF FOOD GRAIN FROM RRC CUM DSC TO RETAIL POINTS ,NA ,,Handling and Transportation,HANDLING AND TRANSPORTATION ,Tender,45.0,730.0,BHADRAK DISTRICT,756100.0,CSO OFFICE BHADRAK ,CSO OFFICE BHADRAK ,29-Apr-2023 10:00 AM ,COLLECTORATE BHADRAK,No ,No,CSO CUM DISTRICT MANAGER,COLLECTOR BHADRAK DLO BHADRAK RTO BHADRAK DSWO BHADRAK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bhadrak,1905.0,2023_OSCSC_88340_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"5,900",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,DETAIL TENDER DOCUMENT FOR LII TC IN RESPECT OF BASUDEVPUR MPL AND 08 GPS OF CHANDBALI BLOCK 2023-25,AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Bhadrak,2023_OSCSC_88340_1,1905.0,L-II TENDER FOR BASUDEVPUR MPL AND 8 GP CNB FOR THE YEAR 2023 25,1.0,2141737.0,TRILOCHAN KHILAR,INR,"3,265,588.75",COLLECTOR BHADRAK,Internal,CSO CUM DM BHADRAK RTO BHADRAK DLO BHADRAK DSWO BHADRAK,Ratikanta Sial,01-Jun-2023 06:27 PM,02-Jun-2023 11:00 AM,techsummary_435662.pdf (8166.55 KB),COLLECTOR BHADRAK,Internal,CSO CUM DM BHADRAK DLO BHADRAK RTO BHADRAK DSWO BHADRAK,Ratikanta Sial,28-Jun-2023 03:57 PM,finsummary_435662.pdf (3922.84 KB),05-Jul-2023,"INR 3,841,417.19",730.0,Ratikanta Sial,25-Jul-2023 11:33 AM,AOCLII.pdf (946.00 KB),AOC FOR BASUDEVPUR MPL AND 8 GP CHANDBALI,Finance,ALL THE ABOVE BIDDERS ARE PARTICIPATED IN PRICE BID,Ratikanta Sial,28-Jun-2023 03:10 PM,,BOQ Comparative Chart,Technical,ALL THE ABOVE BIDDERS ARE PARTICIPATED IN E TENDER FOR BASUDEVPUR MPL,Ratikanta Sial,01-Jun-2023 06:25 PM,,1,2141774,GANESH PRASAD SWAIN,21-May-2023 04:49 PM,Rejected-Finance,REJECTED IN LOTTERY,28-Jun-2023 03:57 PM,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ FOR BASUDEVPUR MUNICIPALITY AND 08 GPS OF CHANDBALI BLOCK FOR THE BIENNIAL 2023-25,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2141737,TRILOCHAN KHILAR,21-May-2023 04:09 PM,Accepted-AOC,LI BIDDER,25-Jul-2023 11:33 AM,AOC
