Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||SALEPUR Block,SLB-02/2022-23,2023_PRBSE_87332_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,CONSTRUCTION OF SUB CENTRE AT SATYABHAMAPUR,CONSTRUCTION OF SUB CENTRE BUILDING,Please refer Tender documents. ,NA ,"28,57,724",Civil Works - Buildings,NA ,Tender,90.0,240.0,"SATYABHAMAPUR GP, SALIPUR GP",754202.0,NA ,NA ,NA ,Panchayata Samiti Salipur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,1,ICICI BANK,"BDO, SaLIPUR",PANCHAYATA SAMITI,29-Mar-2023 10:00 AM,17-Apr-2023 11:30 AM,29-Mar-2023 10:00 AM,12-Apr-2023 05:00 PM,29-Mar-2023 10:00 AM ,12-Apr-2023 03:00 PM ,29-Mar-2023 10:00 AM,12-Apr-2023 05:00 PM,"29,000",No,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC,"BDO, Salipur",Internal,"AEE, Salipur AO, salipur CP, Salipur AE salipur JE Salipur",Bibhuti Bhusan Nayak,18-Jul-2023 01:28 PM,techsummary_432619.pdf (181.35 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Cuttack||SALEPUR Block,2023_PRBSE_87332_1,SLB-02/2022-23,CONSTRUCTION OF SUB CENTRE AT SATYABHAMAPUR,1.0,2110696.0,SUDHAKAR SAHOO,INR,"2,715,124",1,2112415,BHRAMAR BARA BEHERA,11-Apr-2023 06:17 PM,Rejected-Finance,L2 rejected,20-Jul-2023 01:07 PM,20-Jul-2023,"INR 2,715,124",240.0,Suryakanta Rout,20-Jul-2023 02:39 PM,Satyabhamapur.pdf (181.00 KB),AOC is awarded to L1 Bidder,"BDO, Salipur",Internal,"AEE, salipur, AO, Salipur, CP Salipur, AE salipur, JE salipur",Bibhuti Bhusan Nayak,20-Jul-2023 01:07 PM,finsummary_432619.pdf (181.35 KB),Finance,After verification of documents all bidders are admitted,Bibhuti Bhusan Nayak,18-Jul-2023 01:10 PM,finance_432619.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2110696,SUDHAKAR SAHOO,09-Apr-2023 11:21 AM,Accepted-AOC,L1 bidder selected,20-Jul-2023 02:41 PM,,,,,,,,,,,,,,,,,,,,AOC
