Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Balasore,2023_OSCSC_88883_1,1096 / 09.05.2023,Selection and Appointment of Level-II Transport Contractor for 2023-25,1.0,2146076.0,M/S. CHAND TRADERS,INR,"5,898,192",SriDattatrayaBhausahebShindeColletor,External,PradyumnaKumarRoutrayCSO PravatKumarBhattaARTO DiptiRanjanSahooALO KuntalaKumarMallickDSWO,Pradyumna Kumar Routray,09-Jun-2023 07:21 PM,12-Jun-2023 09:00 AM,techsummary_437430.pdf (787.31 KB),07-Jul-2023,"INR 6,937,628",274.0,Pradyumna Kumar Routray,07-Jul-2023 07:29 PM,AOC.pdf (1346.00 KB),SriDattatrayaBhausahebShindeColletor,External,PradyumnaKumarRoutrayCSO PravatKumarBhattaARTO KuntalaKumarMallick DiptiRanjanSahuALO,Pradyumna Kumar Routray,07-Jul-2023 07:17 PM,finsummary_437430.pdf (593.89 KB),1,2145568,CHITTARANJAN SAHOO,26-May-2023 03:19 PM,Rejected-Technical,Uploading of wrong tender paper and Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:21 PM,Technical,Admitted,Pradyumna Kumar Routray,09-Jun-2023 07:13 PM,,Finance,Admitted,Pradyumna Kumar Routray,07-Jul-2023 06:52 PM,,BOQ Comparative Chart,AOC,"5,900",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,NOTICE INVITING TENDER,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Balasore,1096 / 09.05.2023,2023_OSCSC_88883_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,District Manager OSCSC Ltd Balasore,District Manager OSCSC Ltd Balasore,Selection and Appointment of Level-II Transport Contractor for 2023-25,Selection and Appointment of Level-II Transport Contractor for Remuna block for 2023-25,Please refer Tender documents. ,NA ,"69,37,628",Handling and Transportation,Transportataion ,Tender,700.0,45.0,Balasore,756001.0,Office of the District Manager OSCSC Ltd Balasore ,Office of the District Manager OSCSC Ltd Balasore ,17-May-2023 10:00 AM ,Office of the District Manager OSCSC Ltd Balasore,No ,No,12-May-2023 05:00 PM,29-May-2023 10:00 AM,12-May-2023 06:00 PM,26-May-2023 05:00 PM,13-May-2023 10:00 AM ,17-May-2023 10:00 AM ,13-May-2023 10:00 AM,26-May-2023 05:00 PM,12-Jun-2023 09:00 AM,1.0,ICICI BANK,"3,46,881",No,percentage,5.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2144118,DIPTIKANTA SAHOO,25-May-2023 12:53 AM,Rejected-Finance,Through Lottery System,07-Jul-2023 07:17 PM,,,,,,,,,,,,AOC,,,,,,2.0,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2147379,GAGAN BIHARI ROUT,26-May-2023 11:54 AM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2146311,MANAS KUMAR GIRI,26-May-2023 04:00 PM,Rejected-Technical,Absent at the time of document verification,09-Jun-2023 07:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2146076,M/S. CHAND TRADERS,25-May-2023 05:05 PM,Accepted-AOC,Being Lowest-1,07-Jul-2023 07:33 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2144941,PRADEEP KUMAR BEHERA,25-May-2023 01:39 AM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2145905,SANJIB KUMAR NAYAK,26-May-2023 12:45 PM,Rejected-Technical,Incomplete Declaration in Annexure-6(b),09-Jun-2023 07:21 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2144750,Santosh Kumar Sahu,25-May-2023 02:20 AM,Rejected-Finance,Through Lottery System,07-Jul-2023 07:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2144060,SRI SURANJAN BARIK,25-May-2023 02:14 AM,Rejected-Finance,Being not lowest-1,07-Jul-2023 07:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2143974,TAPAN KUMAR SETHI,25-May-2023 01:24 AM,Rejected-Finance,Being not lowest-1,07-Jul-2023 07:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
