Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. Biraja Prasad Pradhan,Internal,"Executive Engineer, (Estimator), P.H. Division, Cuttack, Divisional Accounts Officer-I, P.H. Division, Cuttack, Superintending Engineer, P.H. Division, Cuttack",Biraja Prasad Pradhan,29-Jul-2023 01:33 PM,finsummary_426270.pdf (974.88 KB),PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2023_PHEO_85505_1,"SEPH-DIVISION,CTC-56 (02) of 2022-23",Operation and maintenance of water supply system to Athagarh NAC for the year 2023.,29-Jul-2023,"INR 4,037,660",365.0,Biraja Prasad Pradhan,29-Jul-2023 01:37 PM,wok.pdf (410.00 KB),1.0,2073148.0,PRAKASH BEHERA,INR,"4,037,660",Finance,The validity of tenders depends on the result of scrutiny of the scanned documents submitted by the tenderers online.,Biraja Prasad Pradhan,08-Feb-2023 11:36 AM,,BOQ Comparative Chart,1.0,2073148.0,PRAKASH BEHERA,07-Feb-2023 12:47 PM,Accepted-AOC,1st Lowest L1 Bidder,29-Jul-2023 01:38 PM,Er. Biraja Prasad Pradhan,Internal,"Executive Engineer, (Estimator), P.H. Division, Cuttack, Divisional Accounts Officer-I, P.H. Division, Cuttack, Superintending Engineer, P.H. Division, Cuttack",Biraja Prasad Pradhan,29-Jul-2023 01:31 PM,techsummary_426270.pdf (974.88 KB),AOC,24-Jan-2023 11:00 AM,08-Feb-2023 11:00 AM,24-Jan-2023 11:00 AM,07-Feb-2023 05:00 PM,24-Jan-2023 11:00 AM ,30-Jan-2023 05:00 PM ,24-Jan-2023 11:00 AM,07-Feb-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate, GST, PAN, Affidavit as per DTCN",PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION,CTC-56 (02) of 2022-23",2023_PHEO_85505_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Operation and maintenance of water supply system to Athagarh NAC for the year 2023.,Operation and maintenance of water supply system to Athagarh NAC for the year 2023.,Please refer Tender documents. ,NA ,"43,41,103",Civil Works - Water Works,NA ,Tender,120.0,365.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,"Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack","6,000",0.0,Nil,Nil,No,1,ICICI BANK,"44,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC
