Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
ST and SC Development Deptt||ITDA Kaptipada,2023_STSCD_89251_5,ITDAKPD-01/2023-24,Const. of ICT and Smart Learning Facility Centre at Govt. (SSD) Girls High School Badasimulia under Kaptipada Block,1.0,2154104.0,SRI SAMIR KUMAR SARANGI,INR,"1,020,528",Collector,Internal,"PA, AEE, APD",BANAMALI NANDA,25-Jul-2023 07:43 PM,techsummary_438933.pdf (2505.57 KB),Finance,Bid Opened,BANAMALI NANDA,25-Jul-2023 07:31 PM,finance_438933.pdf,BOQ Comparative Chart,PA,Internal,"AEE, APD",BANAMALI NANDA,26-Jul-2023 10:57 AM,finsummary_438933.pdf (1629.11 KB),26-Jul-2023,"INR 1,020,528",90.0,DEBADATTA PANDA,26-Jul-2023 12:02 PM,05.pdf (213.00 KB),AOC,1,2150109,Abhay Kumar Jena,06-Jun-2023 02:42 PM,Rejected-AOC,Not Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,"12,100",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,No,"PA, ITDA, Kaptipada","AT/PO- Udala, Mayurbhanj",Const. of ICT and Smart Learning Facility Centre at Govt. (SSD) Girls High School Badasimulia under Kaptipada Block,Const. of ICT and Smart Learning Facility Centre at Govt. (SSD) Girls High School Badasimulia under Kaptipada Block,D and C ,NA ,"12,00,480",Civil Works - Buildings,NA ,Tender,90.0,90.0,Kaptipada,757041.0,NA ,NA ,NA ,"ITDA, Kaptipada, Udala",No ,No,24-May-2023 10:00 AM,08-Jun-2023 10:00 AM,24-May-2023 10:00 AM,07-Jun-2023 05:00 PM,NA ,NA ,24-May-2023 10:00 AM,07-Jun-2023 05:00 PM,ST and SC Development Deptt||ITDA Kaptipada,ITDAKPD-01/2023-24,2023_STSCD_89251_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2155960,KAMALAKANTA DEHURI,07-Jun-2023 01:04 PM,Rejected-AOC,Not Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"Contractor License, PAN Card, GSTIN Reg. Certificate etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2152209,SABITA MALLICK,05-Jun-2023 06:03 PM,Rejected-AOC,Not Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2156357,SANATAN JENA,07-Jun-2023 11:19 AM,Rejected-AOC,Not Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2154104,SRI SAMIR KUMAR SARANGI,05-Jun-2023 10:29 AM,Accepted-AOC,Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2156585,SUBHASISH PATI,07-Jun-2023 02:54 PM,Rejected-AOC,Not Qualify in Lottery,26-Jul-2023 12:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
