Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
COLLECTOR CUTTACK,Internal,"RTO, CUTTACK, DLO, CUTTACK, DSWO, CUTTACK, CSO-CUM-DM, OSCSC LTD., CUTTACK",Jaminikanta Mohapatra,17-Jul-2023 07:05 PM,finsummary_434983.pdf (1192.60 KB),17-Jul-2023,"INR 2,670,152",631.0,Jaminikanta Mohapatra,17-Jul-2023 07:46 PM,L2MRSAHOO.pdf (575.00 KB),Sri Manas Ranjan Sahoo is selected as L-II Transport Contractor for Dampada Unit as lowest bidder for the Year 2023-25.,1,2121505,LAXMIDHAR HOTA,02-May-2023 09:43 PM,Rejected-Finance,HIGHEST BIDDING RATE,17-Jul-2023 07:05 PM,Technical,All Bidders of Dampada Block are admitted.,Manas Ranjan Mohapatra,11-May-2023 02:50 PM,,Finance,ALL BIDDERS ARE ALLOWED,Jaminikanta Mohapatra,27-Jun-2023 12:40 PM,,BOQ Comparative Chart,1.0,2121492.0,M/S MANAS RANJAN SAHOO,INR,32.42,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,2023_OSCSC_88134_1,1126_13/17.04.2023,TENDER CALL NOTICE N TENDER DOCUMENTS FOR SELECTION AND APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF DOMPADA UNIT FOR BIENNIAL 2023-25,COLLECTOR CUTTACK,Internal,"ADM GEN, CUTTACK, DLO CUTTACK , DSWO, CUTTACK, RTO, CUTTACK, CSO CUM DM, OSCSC LTD CUTTACK",Manas Ranjan Mohapatra,11-May-2023 03:56 PM,12-May-2023 12:30 PM,techsummary_434983.pdf (1976.43 KB),AOC,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Cuttack,1126_13/17.04.2023,2023_OSCSC_88134_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1,ICICI BANK,"CCSO-CUM-DISTRICT MANAGER, OSCSC LTD., CUTTACK","OFFICE OF THE CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK",TENDER CALL NOTICE N TENDER DOCUMENTS FOR SELECTION AND APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF DOMPADA UNIT FOR BIENNIAL 2023-25,"TRANSPORTATION OF FOODGRAINS FROM OSWC, BANKI TO ALL FPS OF DOMPADA UNIT",REFER TENDER DOCUMENTS ,NA ,,Handling and Transportation,NA ,Tender,45.0,730.0,"FROM OSWC, BANKI TO ALL FPSs OF DOMPADA UNIT",753002.0,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK ","OFFICE OF THE CCSO-CUM-DM, OSCSC LTD., COLLECTORATE, CUTTACK ",21-Apr-2023 11:30 AM ,"OFFICE OF CCSO-CUM-DM, OSCSC LTD., CUTTACK",No ,No,19-Apr-2023 05:00 PM,04-May-2023 11:30 AM,19-Apr-2023 05:00 PM,03-May-2023 05:30 PM,NA ,NA ,19-Apr-2023 05:00 PM,03-May-2023 05:30 PM,12-May-2023 12:30 PM,1,Fee/PreQual/Technical,.pdf,NIT N DTCN FOR APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF DOMPADA UNIT FOR BIENNIAL 2023-25,"1,33,508",No,fixed,,Nil,Nil,"5,900",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,2,2121492,M/S MANAS RANJAN SAHOO,03-May-2023 02:09 PM,Accepted-AOC,Lowest Bidding Rate,17-Jul-2023 07:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ FOR SELECTION N APPOINTMENT OF LEVEL -II TRANSPORT CONTRACTOR OF DOMPADA UNIT FOR BIENNIAL 23-25,,,,,,,,,,,,AOC
