Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
BDO Laxmipur,Internal,AOLaxmipur AEE Laxmipur Tahasildar Laxmipur SO GPEO,Priti Rath,18-Jul-2023 04:00 PM,18-Jul-2023 04:30 PM,techsummary_442851.pdf (4866.06 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Koraput||LAXMIPUR Block,2023_PBLXM_90375_1,02 E-TENDER-2023/24,Const. of Road from PMGSY Road to Tala Metting Village missing link of about 400 meters of Goudaguda GP,1.0,2174081.0,SAMUNDU SAUNTA,INR,"2,855,135",1,2177853,BABULA DASH,14-Jul-2023 08:07 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,Technical,A total of 14 nos of bids have been admitted,Priti Rath,18-Jul-2023 03:39 PM,technical_442851.pdf,Finance,Out of 14 nos of bid 10 nos of bids have been admitted,Priti Rath,18-Jul-2023 06:06 PM,finance_442851.pdf,BOQ Comparative Chart,26-Jul-2023,"INR 2,855,135",120.0,Priti Rath,26-Jul-2023 01:45 PM,WORKORDERROADTALAMETTING.pdf (799.00 KB),A total of 09 bidders had quoted 14.99 percent less than the amount put to tender. Therefore Sri. Samudu Saunta was chosen as L1 through lucky draw,BDO Laxmipur,Internal,"AO,AEE,JE,SO,GPEO,MI LAXMIPUR BLOCK,TAHASILDAR",Priti Rath,19-Jul-2023 03:17 PM,finsummary_442851.pdf (294.02 KB),AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Koraput||LAXMIPUR Block,02 E-TENDER-2023/24,2023_PBLXM_90375_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",Nil,Nil,No,BDO Laxmipur,Panchayat Samiti Laxmipur,"34,000",Yes,fixed,,Nil,Nil,05-Jul-2023 12:30 PM,17-Jul-2023 11:30 AM,05-Jul-2023 12:30 PM,15-Jul-2023 05:00 PM,05-Jul-2023 12:30 PM ,15-Jul-2023 05:00 PM ,05-Jul-2023 12:30 PM,15-Jul-2023 05:00 PM,18-Jul-2023 04:30 PM,Const. of Road from PMGSY Road to Tala Metting Village missing link of about 400 meters of Goudaguda GP,Const. of Road from PMGSY Road to Tala Metting Village missing link of about 400 meters of Goudaguda GP,As per DTCN ,NA ,"33,58,590",Civil Works - Roads,NA ,Tender,120.0,120.0,Laxmipur,765013.0,NA ,NA ,NA ,"O/O Panchayat Samiti, Laxmipur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD, PAN, GSTIN, ITCC, Latest GST Return and IT Return, and other doucments as per DTCN",AOC
,,,,,,,,,,,,,,,,2,2174722,BELADHAR NAIK,10-Jul-2023 12:22 PM,Rejected-AOC,L2 bidder,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,3,2177126,DOLAMANI SAHU,13-Jul-2023 12:26 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2175154,GANESH SAUNTA (S.T),14-Jul-2023 12:00 PM,Rejected-Technical,Due to non submission of latest GST Return,18-Jul-2023 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2178121,JANAKI KHARA,15-Jul-2023 12:29 PM,Rejected-AOC,L3 Bidder,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2178345,KAINA GARDA,15-Jul-2023 04:10 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2175042,LIPUN PRADHAN,13-Jul-2023 09:25 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2176660,MANOJ KUMAR HALWA,12-Jul-2023 02:46 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2176460,RADHAKANTA KHARA (S.C),12-Jul-2023 02:24 PM,Rejected-AOC,Did not get through Lucky Draw,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2176827,SAHADEV BIDIKA,12-Jul-2023 05:37 PM,Rejected-Technical,Due to non submission of latest IT Return,18-Jul-2023 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,2174081,SAMUNDU SAUNTA,08-Jul-2023 02:49 PM,Accepted-AOC,L1 bidder though luck draw process,26-Jul-2023 01:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
