Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Technical Proceeding,Sunil Kumar Behera,09-Jun-2023 01:25 PM,technical_436601.pdf,S.K. Behera,Internal,L.ROUTR.K.PaleiA.S. SWAINA.RATH.PRADHAN,Sunil Kumar Behera,17-Jul-2023 12:30 PM,finsummary_436601.pdf (1206.10 KB),Odisha Tourism Devl. Corp.,2023_OTDC_88673_3,BP -I/01/2023-24Dt.12.04.2023,Development of Dadaraghati Dam at Dhenkanal District.,1.0,2131883.0,ARYA PRAKASH CHAMPATIRAY,INR,"35,770,199",Finance,Price bid Proceeding,Sunil Kumar Behera,17-Jul-2023 12:26 PM,finance_436601.pdf,BOQ Comparative Chart,17-Jul-2023,"INR 35,770,199",360.0,Sunil Kumar Behera,17-Jul-2023 12:32 PM,DadaraghatiWo.PDF (1206.00 KB),Development of Dadaraghati Dam at Dhenkanal District.,1,2134343,ABHISHEK KALIPRASANNA PUHAN,09-May-2023 03:46 PM,Rejected-Technical,Not Fulfilled eligibility criteria,09-Jun-2023 02:11 PM,1.0,Development of Dadaraghati Dam at Dhenkanal District,Tender Revocation,09-Jun-2023 12:59 PM,Dadaraghati.pdf ,183.16,Technical Opening,S.K.Behera,Internal,LROUTRKPALEIARATHASSWAINSPRADHAN,Sunil Kumar Behera,09-Jun-2023 02:11 PM,09-Jun-2023 04:30 PM,techsummary_436601.pdf (4925.74 KB),AOC,"3,56,590",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,02-May-2023 05:15 PM,17-May-2023 11:30 AM,02-May-2023 05:15 PM,16-May-2023 05:00 PM,NA ,NA ,02-May-2023 05:15 PM,16-May-2023 05:00 PM,09-Jun-2023 04:30 PM,Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,"10,000","1,080",Nil,Nil,No,Odisha Tourism Devl. Corp.,BP -I/01/2023-24Dt.12.04.2023,2023_OTDC_88673_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidative, GST work experience cert",Development of Dadaraghati Dam at Dhenkanal District.,Development of Dadaraghati Dam at Dhenkanal District.,Please refer Tender documents. ,NA ,"3,56,59,000",Civil Works - Others,NA ,Tender,90.0,360.0,Dhenkanal District.,759146.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd Lewis,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2131883,ARYA PRAKASH CHAMPATIRAY,13-May-2023 04:33 PM,Accepted-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2138993,ASHOK KUMAR DASH,15-May-2023 02:17 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2137684,ASHUTOSH SAHU,15-May-2023 11:40 AM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2138272,Debabrata Bhatta,15-May-2023 07:52 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2139382,M/S PRADHAN CONSTRUCTION.,16-May-2023 09:56 AM,Rejected-Technical,Not Fulfilled eligibility criteria,09-Jun-2023 02:11 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2140112,NIRAKAR SAMAL,16-May-2023 01:24 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2139372,PRASANA KUMAR SAHOO,15-May-2023 06:00 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2140114,SANDEEP NAYAK,16-May-2023 02:39 PM,Rejected-AOC,Fulfilled eligibility criteria,17-Jul-2023 12:33 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2137547,SHREENIBAS PRADHAN,16-May-2023 01:03 PM,Rejected-Technical,Not Fulfilled eligibility criteria,09-Jun-2023 02:11 PM,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
