Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate","19,500",Yes,fixed,,Nil,Nil,(6) IMPROVEMENT TO DASAMOUZA CANAL FROM RD.27.00KM. TO 28.00KM,Canal improvement,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,"6,000",Nil,Nil,No,17-Feb-2023 11:00 AM,06-Mar-2023 11:00 AM,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,17-Feb-2023 11:00 AM ,23-Feb-2023 05:00 PM ,17-Feb-2023 11:00 AM,04-Mar-2023 05:00 PM,1.0,ICICI BANK,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.7 / 2022-23,2023_SCDBH_86289_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2094094,ALOK KUMAR SETHI,03-Mar-2023 10:22 AM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,14-Jul-2023,"INR 1,654,671",90.0,PRASANTA KUMAR PATEL,14-Jul-2023 05:02 PM,06.pdf (337.00 KB),Contract Awarded,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,02-May-2023 01:46 PM,finsummary_429072.pdf (349.92 KB),Finance,Uploaded documents of all the bidders have been downloaded successfully.,Raikan Besra,06-Mar-2023 08:02 PM,finance_429072.pdf,BOQ Comparative Chart,"SE, Salandi Canal Division, Bhadrak",Internal,"Estimator and DAO Office of the S.E., Salandi Canal Division, Bhadrak",Dipak Kumar Samal,02-May-2023 01:41 PM,techsummary_429072.pdf (349.92 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_86289_6,e-Procurement Notice No.7 / 2022-23,(6) IMPROVEMENT TO DASAMOUZA CANAL FROM RD.27.00KM. TO 28.00KM,1.0,2094767.0,NIRAKAR JENA(S.C),INR,"1,654,671",AOC
,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC,2,2095059,Ashish Puhana,04-Mar-2023 11:38 AM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2084498,BASANTA KUMAR SANTARA,20-Feb-2023 01:37 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2093835,Bhabatosh Das,03-Mar-2023 08:40 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2094570,BISHNU CHARAN MOHAPATRA,03-Mar-2023 11:46 AM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2090047,Biswanath Barik,01-Mar-2023 07:32 AM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2095390,JAGABANDHU JENA,04-Mar-2023 04:24 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2094952,JYOTSNARANI KANUNGO,04-Mar-2023 12:04 AM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2086254,MANAS RANJAN NATH,21-Feb-2023 05:28 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2094767,NIRAKAR JENA(S.C),03-Mar-2023 04:18 PM,Accepted-AOC,Won the lottery,14-Jul-2023 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,2094627,PRAKASH KUMAR MOHAPATRA,03-Mar-2023 12:57 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,2091553,Rabindra Behera,01-Mar-2023 12:44 PM,Rejected-Finance,Did not won the lottery.,02-May-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
